Legislatura,nome parlamentar,total_dias_de_mandato
54,JOÃO RODRIGUES,8
54,JOÃO RODRIGUES,302
54,JOAQUIM BELTRÃO,700
54,JONAS DONIZETTE,687
54,JORGE BITTAR,2
54,JORGE BITTAR,800
54,JORGE BOEIRA,1144
54,JORGE BOEIRA,192
54,JORGE CÔRTE REAL,1460
54,JORGE PINHEIRO,173
54,JORGE TADEU MUDALEN,1460
54,JORGINHO MELLO,1460
54,JOSÉ AIRTON,1460
54,JOSÉ ANÍBAL,2
54,JOSÉ ANÍBAL,1
54,JOSÉ ANÍBAL,298
54,JOSÉ AUGUSTO MAIA,1460
54,JOSÉ CARLOS ARAÚJO,1460
54,JOSÉ CARLOS VIEIRA,106
54,JOSÉ CHAVES,1460
54,JOSÉ DE FILIPPI,700
54,JOSÉ GENOÍNO,256
54,JOSÉ GUIMARÃES,1460
54,JOSÉ HUMBERTO,1460
54,JOSÉ LINHARES,1460
54,JOSÉ MENTOR,1460
54,JOSÉ NUNES,1460
54,JOSÉ OTÁVIO GERMANO,1460
54,JOSÉ PRIANTE,1460
54,JOSÉ ROCHA,1460
54,JOSE STÉDILE,1460
54,JOSEPH BANDEIRA,362
54,JOSEPH BANDEIRA,30
54,JOSIAS GOMES,1430
54,JOSUÉ BENGTSON,1460
54,JOVAIR ARANTES,1460
54,JÚLIO CAMPOS,1460
54,JÚLIO CESAR,1460
54,JÚLIO DELGADO,1460
54,JULIO LOPES,28
54,JULIO LOPES,302
54,JULIO SEMEGHINI,1
54,JULIO SEMEGHINI,26
54,JÚNIOR COIMBRA,1460
54,JUNJI ABE,1460
54,JUTAHY JUNIOR,1460
54,KEIKO OTA,1460
54,LAEL VARELLA,1460
54,LAERCIO OLIVEIRA,1460
54,LAUREZ MOREIRA,700
54,LAURIETE,1460
54,LÁZARO BOTELHO,732
54,LÁZARO BOTELHO,607
54,LEANDRO VILELA,1460
54,LELO COIMBRA,1460
54,LÉO OLIVEIRA,29
54,LEOMAR QUINTANILHA,121
54,LEONARDO GADELHA,822
54,LEONARDO MONTEIRO,1460
54,LEONARDO PICCIANI,17
54,LEONARDO PICCIANI,1180
54,LEONARDO QUINTÃO,1460
54,LEONARDO VILELA,8
54,LEONARDO VILELA,7
54,LEONARDO VILELA,216
54,LEONARDO VILELA,7
54,LEONARDO VILELA,7
54,LEOPOLDO MEYER,1460
54,LILIAM SÁ,1460
54,LINCOLN PORTELA,1460
54,LINDOMAR GARÇON,288
54,LIRA MAIA,1460
54,LOURIVAL MENDES,1460
54,LUCI CHOINACKI,1460
54,LUCIANA SANTOS,1460
54,LUCIANO CASTRO,1460
54,LUCIANO MOREIRA,135
54,LUCIANO PIZZATTO,1
54,LUCIANO PIZZATTO,15
54,LÚCIO VALE,1460
54,LUCIO VIEIRA LIMA,1460
54,LUIS CARLOS HEINZE,1460
54,LUIS TIBÉ,1460
54,LUIZ ALBERTO,1460
54,LUIZ ARGÔLO,1460
54,LUIZ CARLOS,1460
54,LUIZ CARLOS BUSATO,6
54,LUIZ CARLOS BUSATO,8
54,LUIZ CARLOS BUSATO,318
54,LUIZ CARLOS HAULY,3
54,LUIZ CARLOS HAULY,480
54,LUIZ CARLOS SETIM,697
54,LUIZ COUTO,1460
54,LUIZ DE DEUS,758
54,LUIZ FERNANDO FARIA,1460
54,LUIZ FERNANDO MACHADO,1460
54,LUIZ NISHIMORI,1406
54,LUIZ NISHIMORI,46
54,LUIZ NOÉ,657
54,LUIZ OTAVIO,207
54,LUIZ OTAVIO,310
54,LUIZ PITIMAN,9
54,LUIZ PITIMAN,1282
54,LUIZ SÉRGIO,1
54,LUIZ SÉRGIO,1065
54,LUIZA ERUNDINA,1460
54,MAGDA MOFATTO,131
54,MAGDA MOFATTO,364
54,MAGDA MOFATTO,358
54,MAGDA MOFATTO,424
54,MAGELA,3
54,MAGELA,3
54,MAGELA,50
