"legislatura";"nome";"carteira";"total"
54;"ENIO BACCI";493;1460
54;"ERIKA KOKAY";407;1460
54;"ERIVELTON SANTANA";194;1460
54;"ERON BEZERRA";624;15
54;"EROS BIONDINI";242;632
54;"EROS BIONDINI";242;9
54;"EROS BIONDINI";242;400
54;"ESPERIDIÃO AMIN";471;1460
54;"EUDES XAVIER";91;1460
54;"EURICO JÚNIOR";613;758
54;"EVANDRO MILHOMEN";11;1460
54;"FÁBIO FARIA";119;1460
54;"FÁBIO RAMALHO";238;1460
54;"FABIO REIS";619;758
54;"FÁBIO SOUTO";190;1460
54;"FÁBIO TRAD";433;1460
54;"FÁTIMA BEZERRA";121;1460
54;"FÁTIMA PELAES";12;1460
54;"FELIPE BORNIER";301;1460
54;"FELIPE MAIA";120;1460
54;"FÉLIX MENDONÇA JÚNIOR";195;1460
54;"FERNANDO COELHO FILHO";158;1460
54;"FERNANDO FERRO";141;1460
54;"FERNANDO FRANCISCHINI";450;1414
54;"FERNANDO FRANCISCHINI";450;0
54;"FERNANDO JORDÃO";557;1
54;"FERNANDO JORDÃO";557;475
54;"FERNANDO JORDÃO";557;6
54;"FERNANDO JORDÃO";557;513
54;"FERNANDO JORDÃO";557;25
54;"FERNANDO LOPES";623;29
54;"FERNANDO LOPES";623;26
54;"FERNANDO LOPES";623;391
54;"FERNANDO MARRONI";525;1154
54;"FERNANDO MARRONI";525;30
54;"FERNANDO TORRES";196;1460
54;"FERNANDO ZACHIA";660;30
54;"FILIPE PEREIRA";303;756
54;"FILIPE PEREIRA";303;277
54;"FLÁVIA MORAIS";422;1460
54;"FLAVIANO MELO";54;1460
54;"FRANCISCO ARAÚJO";570;581
54;"FRANCISCO CHAGAS";626;738
54;"FRANCISCO DE ASSIS";652;112
54;"FRANCISCO ESCÓRCIO";567;1098
54;"FRANCISCO ESCÓRCIO";567;126
54;"FRANCISCO FLORIANO";297;1460
54;"FRANCISCO PRACIANO";41;1460
54;"FRANCISCO TENÓRIO";607;758
54;"GABRIEL CHALITA";347;1442
54;"GABRIEL GUIMARÃES";244;1460
54;"GASTÃO VIEIRA";75;227
54;"GASTÃO VIEIRA";75;320
54;"GEAN LOUREIRO";568;179
54;"GEAN LOUREIRO";568;8
54;"GENECIAS NORONHA";99;1460
54;"GEORGE HILTON";241;1430
54;"GERA ARRUDA";592;81
54;"GERA ARRUDA";592;17
54;"GERA ARRUDA";592;16
54;"GERA ARRUDA";592;126
54;"GERALDO RESENDE";435;1460
54;"GERALDO SIMÕES";185;1460
54;"GERALDO THADEU";236;1460
54;"GIACOBO";466;1460
54;"GILBERTO COUTINHO";656;30
54;"GILMAR MACHADO";234;700
54;"GIOVANI CHERINI";502;1460
54;"GIOVANNI QUEIROZ";27;1460
54;"GIROTO";434;799
54;"GIROTO";434;40
54;"GIVALDO CARIMBÃO";166;1460
54;"GLADSON CAMELI";55;1460
54;"GLAUBER BRAGA";304;1460
54;"GOIACIARA CRUZ";639;150
54;"GONZAGA PATRIOTA";143;1460
54;"GORETE PEREIRA";100;1460
54;"GUILHERME CAMPOS";357;1460
54;"GUILHERME MUSSI";348;1460
54;"GUSTAVO PETTA";645;348
54;"HELCIO SILVA";644;415
54;"HELENO SILVA";175;700
54;"HÉLIO SANTOS";76;1460
54;"HENRIQUE AFONSO";52;1460
54;"HENRIQUE EDUARDO ALVES";123;1460
54;"HENRIQUE FONTANA";498;1460
54;"HENRIQUE OLIVEIRA";36;1430
54;"HERMES PARCIANELLO";448;1460
54;"HEULER CRUVINEL";423;1460
54;"HOMERO PEREIRA";402;962
54;"HUGO LEAL";306;1460
54;"HUGO MOTTA";132;1460
54;"HUGO NAPOLEÃO";112;1460
54;"HUMBERTO MICHILES";663;14
54;"HUMBERTO SOUTO";606;342
54;"HUMBERTO SOUTO";606;123
54;"IARA BERNARDI";618;758
54;"ILÁRIO MARQUES";637;144
54;"INOCÊNCIO OLIVEIRA";145;1460
54;"IRACEMA PORTELLA";113;1460
54;"IRAJÁ ABREU";65;826
54;"IRAJÁ ABREU";65;484
54;"IRINY LOPES";273;1
54;"IRINY LOPES";273;1072
54;"ÍRIS DE ARAÚJO";417;1460
54;"ISAIAS SILVESTRE";604;392
54;"ISAIAS SILVESTRE";604;22
54;"IVAN VALENTE";359;1460
54;"IZALCI";408;1460
54;"JAIME MARTINS";240;1460
54;"JAIR BOLSONARO";302;1460
54;"JAIRO ATAÍDE";533;263
54;"JAIRO ATAÍDE";533;754
54;"JAIRO ATAÍDE";533;422
54;"JANDIRA FEGHALI";305;1460
54;"JANETE CAPIBERIBE";572;1298
54;"JANETE ROCHA PIETÁ";358;1460
54;"JÂNIO NATAL";198;1460
54;"JAQUELINE RORIZ";409;1460
