distancia,vagas,eleitores,cota,valor
1619,31,8392033,40504.04,1035986.07
173,17,4454497,35135.20,485843.70
1524,18,4537237,41779.83,696034.32
1932,8,2428098,43198.26,336313.08
1932,8,2226891,43198.26,236527.77
2246,8,547680,44260.60,427056.87
1687,22,6271554,42079.91,981821.15
1313,10,2370894,40599.91,344169.57
1900,8,1127154,43300.63,313534.29
933,46,12408340,35388.11,1074303.20
1524,18,4537237,41779.83,542153.44
1716,12,2835882,41660.70,589826.81
1619,31,8392033,40504.04,1218044.51
1314,16,5070212,39505.92,185709.07
1619,31,8354732,40504.04,938722.01
620,8,1039439,39131.75,224995.08
1485,9,2187967,40572.24,317582.52
1775,8,2373619,42360.13,378835.01
1081,30,7971087,38500.00,739153.78
947,10,2653536,37052.05,254799.61
620,8,1039439,39131.75,360836.31
1292,8,1454165,39767.40,334044.78
1791,8,512110,43002.92,389772.33
1791,8,512110,43002.92,306590.56
1619,31,8354732,40504.04,874263.71
1081,30,7865950,38500.00,1200164.56
1716,12,2867649,41660.70,900880.77
2246,8,506724,44260.60,450558.10
1060,39,10185417,38638.99,1392497.40
873,8,2189703,39056.17,345539.98
947,10,2754728,37052.05,319228.85
0,8,1897677,30416.80,187100.29
1060,39,10393170,38638.99,1366568.43
173,17,4331733,35135.20,297887.93
2496,8,333464,45240.67,198248.39
624,53,15700966,35720.85,1775449.44
624,53,15700966,35720.85,1166927.72
873,70,31998432,36671.67,1661078.17
1716,12,2835882,41660.70,438627.52
873,70,33040411,36671.67,2701083.16
1485,9,2187967,40572.24,394076.89
2246,8,506724,44260.60,402514.95
878,8,1877982,40170.98,299641.29
1524,18,4497336,41779.83,843857.27
933,46,12141145,35388.11,1716669.55
878,8,1818937,40170.98,245868.95
1314,16,5070212,39505.92,378969.77
173,17,4331733,35135.20,513434.78
1687,22,6344483,42079.91,917354.28
2246,8,506724,44260.60,355175.31
1081,30,7971087,38500.00,1306535.45
1791,8,455514,43002.92,503753.85
873,8,2189703,39056.17,368362.46
873,70,31998432,36671.67,2981848.62
1592,17,5188450,41855.59,671576.67
2246,8,506724,44260.60,345303.10
873,8,2330281,39056.17,286450.34
620,8,996887,39131.75,305190.09
1619,31,8392033,40504.04,1155887.05
1687,22,6271554,42079.91,620198.41
1932,8,2226891,43198.26,340923.17
1524,18,4497336,41779.83,741566.33
873,8,2189703,39056.17,199503.31
173,17,4454497,35135.20,498557.71
173,17,4331733,35135.20,549620.81
878,8,1818937,40170.98,231352.80
1775,8,2373619,42360.13,381608.03
1619,31,8392033,40504.04,1120899.32
1292,8,1577058,39767.40,321030.46
624,53,15700966,35720.85,1313484.88
1060,39,10185417,38638.99,1459518.68
1292,8,1577058,39767.40,378756.29
1592,17,5499283,41855.59,469481.30
873,70,33040411,36671.67,2244266.27
873,70,31998432,36671.67,2454557.13
1791,8,455514,43002.92,325954.61
873,70,31998432,36671.67,2289751.19
1524,18,4497336,41779.83,615432.82
1932,8,2226891,43198.26,317510.65
1292,8,1454165,39767.40,254615.93
1716,12,2867649,41660.70,354822.78
1716,12,2867649,41660.70,480782.39
620,8,1039439,39131.75,268538.76
1524,18,4497336,41779.83,666075.63
873,8,2189703,39056.17,332125.69
1592,17,5499283,41855.59,639185.57
1292,8,1454165,39767.40,297965.73
873,70,31998432,36671.67,2699849.28
1314,16,5070212,39505.92,421755.08
1932,8,2428098,43198.26,218792.98
1775,8,2373619,42360.13,305631.05
873,8,2189703,39056.17,282193.45
1292,8,1454165,39767.40,281373.97
1900,8,1127154,43300.63,325156.99
878,8,1818937,40170.98,355565.63
873,70,33040411,36671.67,1963803.77
1657,25,6570072,41304.94,922448.85
1524,18,4497336,41779.83,847435.56
1081,30,7865950,38500.00,843196.82
873,8,2189703,39056.17,301711.85
2496,8,299558,45240.67,406854.85
1292,8,1577058,39767.40,259736.45
873,70,33040411,36671.67,2213384.99
1657,25,6356307,41304.94,1214784.64
1716,12,2835882,41660.70,465844.23
1313,10,2345694,40599.91,485765.23
1592,17,5499283,41855.59,744854.27
878,8,1877982,40170.98,278486.00
1619,31,8392033,40504.04,1408697.25
873,8,2330281,39056.17,180535.16
1314,16,5070212,39505.92,480456.35
1292,8,1577058,39767.40,331238.19
873,70,33040411,36671.67,1636586.64
933,46,12408340,35388.11,1501534.64
1619,31,8392033,40504.04,1330563.66
1292,8,1577058,39767.40,202746.80
1060,39,10393170,38638.99,952802.17
1900,8,1175733,43300.63,256423.84
1775,8,2327451,42360.13,418535.54
1619,31,8354732,40504.04,1006641.96
1619,31,8354732,40504.04,757155.81
1900,8,1175733,43300.63,244896.37
1619,31,8354732,40504.04,916621.25
873,8,2189703,39056.17,311952.07
2246,8,547680,44260.60,374848.88
1592,17,5499283,41855.59,507695.58
947,10,2653536,37052.05,430628.67
1791,8,455514,43002.92,273641.95
1314,16,4859324,39505.92,475679.69
2496,8,333464,45240.67,420250.36
947,10,2754728,37052.05,377433.73
1687,22,6271554,42079.91,881402.79
2246,8,547680,44260.60,404623.34
1775,8,2327451,42360.13,335356.22
2246,8,506724,44260.60,317948.97
1485,9,1995727,40572.24,262999.02
1687,22,6271554,42079.91,845613.53
1900,8,1175733,43300.63,235630.99
1081,30,7865950,38500.00,994403.00
1081,30,7865950,38500.00,1106933.94
1592,17,5499283,41855.59,393857.23
1932,8,2226891,43198.26,311473.36
1314,16,4859324,39505.92,567798.44
1932,8,2226891,43198.26,442098.69
873,70,33040411,36671.67,2229049.89
2496,8,333464,45240.67,253641.64
1292,8,1577058,39767.40,307634.94
1060,39,10185417,38638.99,1617542.06
1314,16,5070212,39505.92,462414.02
1313,10,2345694,40599.91,327907.77
878,8,1818937,40170.98,364302.54
620,8,1039439,39131.75,287673.31
1791,8,455514,43002.92,355434.44
873,70,33040411,36671.67,2527989.62
1657,25,6356307,41304.94,844412.48
1716,12,2835882,41660.70,525399.45
873,8,2330281,39056.17,362093.92
624,53,15248681,35720.85,1526261.47
1657,25,6570072,41304.94,1031697.61
1791,8,455514,43002.92,252591.03
1791,8,512110,43002.92,523828.85
878,8,1877982,40170.98,296459.44
1687,22,6271554,42079.91,848654.74
873,70,33040411,36671.67,1841195.65
1292,8,1577058,39767.40,290553.82
1932,8,2226891,43198.26,254553.83
1313,10,2370894,40599.91,379988.61
1592,17,5188450,41855.59,676373.04
1313,10,2370894,40599.91,340223.90
873,70,31998432,36671.67,2350089.67
933,46,12141145,35388.11,1474676.42
620,8,1039439,39131.75,325471.56
873,8,2330281,39056.17,284329.79
1081,30,7971087,38500.00,743589.23
1900,8,1127154,43300.63,361273.12
620,8,1039439,39131.75,314372.15
1619,31,8354732,40504.04,701908.55
933,46,12141145,35388.11,1656235.10
1292,8,1454165,39767.40,158877.86
1524,18,4537237,41779.83,546328.60
1524,18,4497336,41779.83,781974.08
1485,9,1995727,40572.24,206132.02
947,10,2754728,37052.05,287810.81
947,10,2653536,37052.05,321989.63
1292,8,1454165,39767.40,325173.03
1657,25,6356307,41304.94,580127.96
1485,9,2187967,40572.24,318616.86
1619,31,8392033,40504.04,1398106.97
1791,8,512110,43002.92,424223.06
1900,8,1175733,43300.63,168677.51
1657,25,6570072,41304.94,682402.76
1791,8,455514,43002.92,320563.98
173,17,4454497,35135.20,486974.15
1081,30,7971087,38500.00,1289030.85
1485,9,2187967,40572.24,494916.50
1314,16,5070212,39505.92,530906.30
1716,12,2835882,41660.70,332394.12
1716,12,2867649,41660.70,306290.25
2496,8,299558,45240.67,344675.97
947,10,2754728,37052.05,308317.73
947,10,2653536,37052.05,258613.89
1081,30,7971087,38500.00,1163962.83
1657,25,6570072,41304.94,1104329.91
947,10,2754728,37052.05,430977.97
1619,31,8354732,40504.04,1081378.27
1292,8,1577058,39767.40,358615.31
