"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4829","2015","DF","PP",38,0,8,1897677,30416.8,31146.74,"8"
"5034","2015","DF","PP",38,0,8,1897677,30416.8,29965,"61"
"5017","2015","DF","PSDB",54,0,8,1897677,30416.8,18813.96,"55"
"4843","2015","DF","PSDB",54,0,8,1897677,30416.8,21210,"10"
"5020","2015","DF","PL",34,0,8,1897677,30416.8,1491.44,"56"
"5000","2015","DF","PSD",36,0,8,1897677,30416.8,724.08,"49"
"5008","2015","DF","DEM",21,0,8,1897677,30416.8,12872.52,"52"
"4966","2015","DF","PSDB",54,0,8,1897677,30416.8,72500,"37"
"4962","2015","DF","PSD",36,0,8,1897677,30416.8,40983.33,"35"
"4868","2015","DF","PP",38,0,8,1897677,30416.8,25628.21,"14"
"5026","2015","DF","PT",68,0,8,1897677,30416.8,10455.57,"60"
"5264","2015","ES","PP",38,947,10,2653536,37052.05,3714.2,"29"
"5678","2015","ES","PSL",1,947,10,2653536,37052.05,36000,"61"
"5648","2015","ES","PT",68,947,10,2653536,37052.05,1217.82,"53"
"5140","2015","ES","PP",38,947,10,2653536,37052.05,84202.74,"1"
"5308","2015","ES","PCdoB",10,947,10,2653536,37052.05,344.78,"41"
"5801","2015","ES","PDT",20,947,10,2653536,37052.05,25164.88,"84"
"5294","2015","ES","PSL",1,947,10,2653536,37052.05,22621.28,"37"
"5187","2015","ES","PP",38,947,10,2653536,37052.05,4364.77,"11"
"5783","2015","ES","PCdoB",10,947,10,2653536,37052.05,11318.12,"78"
"5675","2015","ES","PSB",34,947,10,2653536,37052.05,46375.15,"60"
"5647","2015","ES","PSDB",54,947,10,2653536,37052.05,13525.32,"52"
"5163","2015","ES","PT",68,947,10,2653536,37052.05,48611.68,"7"
"5287","2015","ES","PSB",34,947,10,2653536,37052.05,12000,"36"
"5144","2015","ES","PP",38,947,10,2653536,37052.05,107184.42,"2"
"5225","2015","ES","PT",68,947,10,2653536,37052.05,39513.99,"18"
"5304","2015","ES","PT",68,947,10,2653536,37052.05,889.69,"39"
"5212","2015","ES","PSDB",54,947,10,2653536,37052.05,13170,"14"
"5753","2015","ES","PSDB",54,947,10,2653536,37052.05,9134.48,"76"
"5660","2015","ES","PT",68,947,10,2653536,37052.05,8015.42,"56"
"5192","2015","ES","PCdoB",10,947,10,2653536,37052.05,112000.08,"12"
"5740","2015","ES","PSL",1,947,10,2653536,37052.05,31536.47,"74"
"5232","2015","ES","PSB",34,947,10,2653536,37052.05,3216,"19"
"5329","2015","ES","PT",68,947,10,2653536,37052.05,123943.5,"49"
"5214","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,47479.9,"16"
"5343","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,50070.74,"50"
"5281","2015","ES","PCdoB",10,947,10,2653536,37052.05,21558.69,"34"
"5317","2015","ES","PSDB",54,947,10,2653536,37052.05,106663.16,"45"
"5320","2015","ES","PSB",34,947,10,2653536,37052.05,86577.77,"47"
"5663","2015","ES","MDB",65,947,10,2653536,37052.05,101200,"57"
"5713","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,43000,"69"
"5183","2015","ES","PDT",20,947,10,2653536,37052.05,50151.42,"9"
"6363","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,51242.05,"73"
"6378","2015","GO","PSDB",54,173,17,4331733,35135.2,18551.27,"76"
"6482","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,7248.15,"98"
"6543","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,40734.24,"111"
"6302","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,3167.94,"59"
"6205","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,119600,"42"
"6282","2015","GO","MDB",65,173,17,4331733,35135.2,13963.25,"57"
"6143","2015","GO","CIDADANIA",10,173,17,4331733,35135.2,3586.63,"27"
"6488","2015","GO","MDB",65,173,17,4331733,35135.2,32175.77,"99"
"6459","2015","GO","PSL",1,173,17,4331733,35135.2,581.29,"94"
