"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"9739","2015","55","1","MS","PSB","ASSINATURA DE PUBLICAÇÕES",34,878,8,1818937,40170.98,3890.32,"3"
"9754","2015","55","1","MS","PSDB","SERVIÇOS POSTAIS",54,878,8,1818937,40170.98,5735.6,"5"
"9864","2015","55","1","MS","PT","PASSAGEM AÉREA",68,878,8,1818937,40170.98,184775.95,"10"
"10468","2015","55","1","MT","DEM","ASSINATURA DE PUBLICAÇÕES",21,873,8,2189703,39056.17,603.72,"10"
"10267","2015","55","1","MT","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,873,8,2189703,39056.17,91708.12,"5"
"10201","2015","55","1","MT","PP","SERVIÇOS POSTAIS",38,873,8,2189703,39056.17,5425.17,"6"
"10003","2015","55","1","MT","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,873,8,2189703,39056.17,38602.57,"1"
"10001","2015","55","1","MT","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,873,8,2189703,39056.17,45018.98,"1"
"10208","2015","55","1","MT","PT","PASSAGEM AÉREA",68,873,8,2189703,39056.17,57055.53,"5"
"10017","2015","55","1","MT","REPUBLICANOS","SERVIÇOS POSTAIS",21,873,8,2189703,39056.17,1604.21,"1"
"11006","2015","55","1","PA","CIDADANIA","DIVULGAÇÃO MANDATO",10,1592,17,5188450,41855.59,90100,"1"
"11255","2015","55","1","PA","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1592,17,5188450,41855.59,3702.67,"7"
"11370","2015","55","1","PA","MDB","TELEFONIA",65,1592,17,5188450,41855.59,77890.22,"8"
"11478","2015","55","1","PA","PL","PASSAGEM AÉREA",34,1592,17,5188450,41855.59,201023.41,"7"
"11366","2015","55","1","PA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1592,17,5188450,41855.59,50771.36,"8"
"11544","2015","55","1","PA","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1592,17,5188450,41855.59,36165.48,"12"
"11237","2015","55","1","PA","PSC","LOCAÇÃO DE AUTOMÓVEIS",13,1592,17,5188450,41855.59,60532.4,"4"
"11457","2015","55","1","PA","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1592,17,5188450,41855.59,47000,"10"
"11234","2015","55","1","PA","PSDB","TELEFONIA",54,1592,17,5188450,41855.59,41483.89,"3"
"11172","2015","55","1","PA","PSOL","PASSAGEM AÉREA",5,1592,17,5188450,41855.59,224066.88,"4"
"11087","2015","55","1","PA","PT","SERVIÇOS POSTAIS",68,1592,17,5188450,41855.59,6139.62,"3"
"11300","2015","55","1","PA","PTB","DIVULGAÇÃO MANDATO",25,1592,17,5188450,41855.59,105340.5,"5"
"11205","2015","55","1","PA","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,1592,17,5188450,41855.59,45000,"3"
"11868","2015","55","1","PB","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1716,12,2835882,41660.7,656,"7"
"11629","2015","55","1","PB","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1716,12,2835882,41660.7,577.7,"1"
"12353","2015","55","1","PB","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,1716,12,2835882,41660.7,47240,"9"
"12194","2015","55","1","PB","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1716,12,2835882,41660.7,572.2,"5"
"12308","2015","55","1","PB","PP","DIVULGAÇÃO MANDATO",38,1716,12,2835882,41660.7,138200,"6"
"11679","2015","55","1","PB","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1716,12,2835882,41660.7,66300,"4"
"11704","2015","55","1","PB","PSC","LOCAÇÃO DE AUTOMÓVEIS",13,1716,12,2835882,41660.7,3300,"2"
"11866","2015","55","1","PB","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,1716,12,2835882,41660.7,6680.15,"5"
"12332","2015","55","1","PB","PSDB","SERVIÇOS POSTAIS",54,1716,12,2835882,41660.7,3615.19,"8"
"12335","2015","55","1","PB","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1716,12,2835882,41660.7,23356.18,"6"
