"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"163452","2016","1","55","2","RS","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1619,31,8392033,40504.04,828.08,"1753"
"81708","2016","1","55","2","MS","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,878,8,1818937,40170.98,503.88,"881"
"98050","2016","1","55","2","PB","REPUBLICANOS","SERVIÇOS POSTAIS",21,1716,12,2835882,41660.7,30.39,"1046"
"78779","2016","1","55","2","MG","SOLIDARIEDADE","COMBUSTÍVEIS E LUBRIFICANTES",15,624,53,15248681,35720.85,1814.03,"826"
"3462","2016","1","55","2","AC","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,2246,8,506724,44260.6,1455.15,"27"
"121880","2016","1","55","2","PR","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,1081,30,7865950,38500,487,"1338"
"138960","2016","2","55","2","RJ","PP","LOCAÇÃO DE AUTOMÓVEIS",38,933,46,12141145,35388.11,9900,"1706"
"178161","2016","2","55","2","SC","PT","PASSAGEM AÉREA",68,1314,16,4859324,39505.92,15525.49,"2097"
"44512","2016","2","55","2","ES","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,947,10,2653536,37052.05,130,"553"
"89144","2016","2","55","2","PA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1592,17,5188450,41855.59,4200,"1055"
"20465","2016","2","55","2","BA","PODEMOS","DIVULGAÇÃO MANDATO",9,1060,39,10185417,38638.99,10000,"218"
"22977","2016","2","55","2","BA","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,1060,39,10185417,38638.99,1600,"271"
"125890","2016","2","55","2","PR","PSB","PASSAGEM AÉREA",34,1081,30,7865950,38500,21253.24,"1535"
"89175","2016","2","55","2","PA","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1592,17,5188450,41855.59,401.51,"1057"
"60603","2016","2","55","2","MA","PATRIOTA","COMBUSTÍVEIS E LUBRIFICANTES",5,1524,18,4497336,41779.83,4020.97,"772"
"69669","2016","3","55","2","MG","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,624,53,15248681,35720.85,15907,"913"
"167978","2016","3","55","2","RS","PTB","ASSINATURA DE PUBLICAÇÕES",25,1619,31,8392033,40504.04,300,"2147"
"127779","2016","3","55","2","PR","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1081,30,7865950,38500,4697.77,"1668"
"160175","2016","3","55","2","RR","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,2496,8,299558,45240.67,994.89,"2007"
"152815","2016","3","55","2","RO","PSD","SERVIÇOS POSTAIS",36,1900,8,1127154,43300.63,147.44,"1907"
"152934","2016","3","55","2","RO","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1900,8,1127154,43300.63,8800,"1911"
"85034","2016","3","55","2","MT","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,873,8,2189703,39056.17,9970,"1069"
"139662","2016","3","55","2","RJ","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,933,46,12141145,35388.11,966,"1829"
"114388","2016","3","55","2","PE","PCdoB","DIVULGAÇÃO MANDATO",10,1657,25,6356307,41304.94,16300,"1438"
"12600","2016","4","55","2","AM","PL","SERVIÇOS POSTAIS",34,1932,8,2226891,43198.26,1599.54,"148"
"59446","2016","4","55","2","MA","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1524,18,4497336,41779.83,204,"777"
