"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"7688","2015","MA","PATRIOTA",5,1524,18,4497336,41779.83,93749.89,"98"
"9295","2015","MG","PSB",34,624,53,15248681,35720.85,37639.46,"115"
"9450","2015","MG","DEM",21,624,53,15248681,35720.85,68451.99,"157"
"9309","2015","MG","PSDB",54,624,53,15248681,35720.85,218522.45,"119"
"7910","2015","MG","PSL",1,624,53,15248681,35720.85,3665.88,"22"
"9408","2015","MG","PODEMOS",9,624,53,15248681,35720.85,5617.85,"143"
"9262","2015","MG","PROS",11,624,53,15248681,35720.85,121385,"106"
"7848","2015","MG","DEM",21,624,53,15248681,35720.85,1744.08,"12"
"7785","2015","MG","PSD",36,624,53,15248681,35720.85,7395.18,"1"
"7832","2015","MG","PODEMOS",9,624,53,15248681,35720.85,11161.53,"9"
"7880","2015","MG","PSL",1,624,53,15248681,35720.85,83513.43,"16"
"7939","2015","MG","PSB",34,624,53,15248681,35720.85,69116,"26"
"9078","2015","MG","PP",38,624,53,15248681,35720.85,4366.3,"70"
"9132","2015","MG","PSD",36,624,53,15248681,35720.85,2800,"81"
"8505","2015","MG","PT",68,624,53,15248681,35720.85,160496.79,"35"
"9234","2015","MG","PROS",11,624,53,15248681,35720.85,98152.99,"97"
"9161","2015","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,18693,"89"
"9344","2015","MG","PODEMOS",9,624,53,15248681,35720.85,14701.78,"129"
"9014","2015","MG","PDT",20,624,53,15248681,35720.85,27073.2,"58"
"7818","2015","MG","PODEMOS",9,624,53,15248681,35720.85,15525.15,"7"
"7909","2015","MG","PSDB",54,624,53,15248681,35720.85,3558.41,"21"
"9717","2015","MS","PDT",20,878,8,1818937,40170.98,2382.1,"22"
"9686","2015","MS","PSB",34,878,8,1818937,40170.98,37300.19,"15"
"9741","2015","MS","PSB",34,878,8,1818937,40170.98,68908.97,"29"
"9769","2015","MS","DEM",21,878,8,1818937,40170.98,417,"35"
"9771","2015","MS","PDT",20,878,8,1818937,40170.98,67161.21,"36"
"9822","2015","MS","PT",68,878,8,1818937,40170.98,3192.85,"48"
"9845","2015","MS","DEM",21,878,8,1818937,40170.98,204789,"57"
"9872","2015","MS","PSDB",54,878,8,1818937,40170.98,95351.56,"64"
"9655","2015","MS","DEM",21,878,8,1818937,40170.98,117931.63,"7"
"10182","2015","MT","PT",68,873,8,2189703,39056.17,69675.5,"25"
"10441","2015","MT","MDB",65,873,8,2189703,39056.17,152681.5,"49"
"10269","2015","MT","PT",68,873,8,2189703,39056.17,15843.41,"45"
"10456","2015","MT","PSL",1,873,8,2189703,39056.17,77148.61,"52"
"10003","2015","MT","PSDB",54,873,8,2189703,39056.17,38602.57,"3"
"10278","2015","MT","PT",68,873,8,2189703,39056.17,4634.82,"46"
"10017","2015","MT","REPUBLICANOS",21,873,8,2189703,39056.17,1604.21,"8"
"10468","2015","MT","DEM",21,873,8,2189703,39056.17,603.72,"55"
"10214","2015","MT","PSDB",54,873,8,2189703,39056.17,69252.72,"35"
"10463","2015","MT","DEM",21,873,8,2189703,39056.17,1702.23,"54"
"11063","2015","PA","PSC",13,1592,17,5188450,41855.59,11699.76,"14"
"11417","2015","PA","PSC",13,1592,17,5188450,41855.59,7564.1,"96"
"11104","2015","PA","MDB",65,1592,17,5188450,41855.59,42278.25,"28"
"11316","2015","PA","PSC",13,1592,17,5188450,41855.59,3856.15,"77"
"11327","2015","PA","PODEMOS",9,1592,17,5188450,41855.59,6090.57,"78"
"11544","2015","PA","PP",38,1592,17,5188450,41855.59,36165.48,"125"
"11562","2015","PA","PSC",13,1592,17,5188450,41855.59,3050,"128"
"11201","2015","PA","PT",68,1592,17,5188450,41855.59,45514.72,"52"
"11056","2015","PA","PODEMOS",9,1592,17,5188450,41855.59,236467.66,"13"
"11012","2015","PA","PT",68,1592,17,5188450,41855.59,230200,"3"
"11198","2015","PA","PP",38,1592,17,5188450,41855.59,8590.41,"50"
"11130","2015","PA","PP",38,1592,17,5188450,41855.59,33656.51,"33"
"11527","2015","PA","PSOL",5,1592,17,5188450,41855.59,1767.08,"120"
"11478","2015","PA","PL",34,1592,17,5188450,41855.59,201023.41,"111"
"11458","2015","PA","PTB",25,1592,17,5188450,41855.59,72940,"105"
"11020","2015","PA","PP",38,1592,17,5188450,41855.59,132000,"5"
"11241","2015","PA","CIDADANIA",10,1592,17,5188450,41855.59,41812.55,"64"
"11655","2015","PB","MDB",65,1716,12,2835882,41660.7,67231.53,"13"
"12342","2015","PB","PDT",20,1716,12,2835882,41660.7,20062.22,"99"
"11826","2015","PB","PT",68,1716,12,2835882,41660.7,11547.23,"45"
"11620","2015","PB","PSC",13,1716,12,2835882,41660.7,12200,"4"
"11699","2015","PB","PP",38,1716,12,2835882,41660.7,26511.15,"21"
"11753","2015","PB","PL",34,1716,12,2835882,41660.7,18388.69,"31"
"12366","2015","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,754.46,"106"
"12246","2015","PB","PL",34,1716,12,2835882,41660.7,229500,"76"
"12352","2015","PB","PT",68,1716,12,2835882,41660.7,33530,"101"
"11769","2015","PB","PL",34,1716,12,2835882,41660.7,2058,"37"
"11866","2015","PB","PSD",36,1716,12,2835882,41660.7,6680.15,"55"
"11674","2015","PB","PSDB",54,1716,12,2835882,41660.7,15092.58,"18"
"11632","2015","PB","PSB",34,1716,12,2835882,41660.7,5501.54,"8"
"11783","2015","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,102200,"39"
"12953","2015","PE","PSDB",54,1657,25,6356307,41304.94,49860,"31"
"13262","2015","PE","PCdoB",10,1657,25,6356307,41304.94,99749,"98"
"13349","2015","PE","AVANTE",2,1657,25,6356307,41304.94,4527.71,"117"
"13443","2015","PE","PCdoB",10,1657,25,6356307,41304.94,5460.04,"136"
"12955","2015","PE","PATRIOTA",5,1657,25,6356307,41304.94,111500,"32"
"12936","2015","PE","CIDADANIA",10,1657,25,6356307,41304.94,33014.85,"27"
"12917","2015","PE","PSDB",54,1657,25,6356307,41304.94,6332.78,"24"
"13136","2015","PE","PROS",11,1657,25,6356307,41304.94,107272.86,"73"
"13193","2015","PE","PTB",25,1657,25,6356307,41304.94,228112.34,"87"
"13168","2015","PE","PSDB",54,1657,25,6356307,41304.94,4338.15,"82"
"12901","2015","PE","PDT",20,1657,25,6356307,41304.94,189039.1,"22"
"13530","2015","PE","PODEMOS",9,1657,25,6356307,41304.94,4247.92,"149"
"12963","2015","PE","AVANTE",2,1657,25,6356307,41304.94,115863.76,"33"
"13463","2015","PE","AVANTE",2,1657,25,6356307,41304.94,224250,"139"
"13331","2015","PE","PCdoB",10,1657,25,6356307,41304.94,5779.6,"110"
"12817","2015","PE","PDT",20,1657,25,6356307,41304.94,86957.05,"2"
"13095","2015","PE","PP",38,1657,25,6356307,41304.94,5482.8,"63"
"13303","2015","PE","PATRIOTA",5,1657,25,6356307,41304.94,198513,"104"
"13283","2015","PE","PATRIOTA",5,1657,25,6356307,41304.94,586.3,"102"
"13085","2015","PE","CIDADANIA",10,1657,25,6356307,41304.94,71552.14,"61"
"13217","2015","PE","DEM",21,1657,25,6356307,41304.94,81580,"93"
"14331","2015","PI","MDB",65,1313,10,2345694,40599.91,37173.75,"79"
"13856","2015","PI","PL",34,1313,10,2345694,40599.91,5000,"20"
"14025","2015","PI","PSD",36,1313,10,2345694,40599.91,3576,"60"
"14357","2015","PI","PP",38,1313,10,2345694,40599.91,60230,"86"
"14294","2015","PI","PSB",34,1313,10,2345694,40599.91,73320,"73"
"13863","2015","PI","PP",38,1313,10,2345694,40599.91,26835.6,"21"
"13828","2015","PI","MDB",65,1313,10,2345694,40599.91,48289.82,"11"
"14335","2015","PI","PSD",36,1313,10,2345694,40599.91,1627.66,"80"
"13971","2015","PI","MDB",65,1313,10,2345694,40599.91,1683.06,"45"
"13897","2015","PI","DEM",21,1313,10,2345694,40599.91,2534.3,"29"
"13842","2015","PI","PTB",25,1313,10,2345694,40599.91,17100,"17"
"13866","2015","PI","MDB",65,1313,10,2345694,40599.91,11490.37,"22"
"13923","2015","PI","PL",34,1313,10,2345694,40599.91,10000,"36"
"15625","2015","PR","DEM",21,1081,30,7865950,38500,49490,"121"
"15825","2015","PR","PV",8,1081,30,7865950,38500,23864.94,"170"
"15464","2015","PR","PV",8,1081,30,7865950,38500,25182.07,"74"
"15478","2015","PR","PODEMOS",9,1081,30,7865950,38500,20294.67,"79"
"15473","2015","PR","PSD",36,1081,30,7865950,38500,69984.16,"77"
"15705","2015","PR","PT",68,1081,30,7865950,38500,25225.06,"145"
"15712","2015","PR","PSL",1,1081,30,7865950,38500,50000,"147"
"15481","2015","PR","PROS",11,1081,30,7865950,38500,48933.38,"81"
"14465","2015","PR","PSB",34,1081,30,7865950,38500,646.37,"13"
"15642","2015","PR","PSDB",54,1081,30,7865950,38500,82605,"126"
"15702","2015","PR","CIDADANIA",10,1081,30,7865950,38500,4094.75,"143"
"15170","2015","PR","PTB",25,1081,30,7865950,38500,231360.83,"25"
"15826","2015","PR","PP",38,1081,30,7865950,38500,14189.69,"171"
"15351","2015","PR","PSDB",54,1081,30,7865950,38500,71057.99,"54"
"15595","2015","PR","PP",38,1081,30,7865950,38500,235001.43,"115"
"15591","2015","PR","PDT",20,1081,30,7865950,38500,24000,"113"
"15577","2015","PR","PODEMOS",9,1081,30,7865950,38500,15851.31,"108"
"15771","2015","PR","PSB",34,1081,30,7865950,38500,232633.1,"158"
"14419","2015","PR","PV",8,1081,30,7865950,38500,3797.65,"3"
"15281","2015","PR","PSDB",54,1081,30,7865950,38500,6029.26,"44"
"15703","2015","PR","PTB",25,1081,30,7865950,38500,36545.11,"144"
"15260","2015","PR","PSC",13,1081,30,7865950,38500,41699.91,"39"
"14534","2015","PR","PODEMOS",9,1081,30,7865950,38500,7281.07,"22"
"15879","2015","PR","DEM",21,1081,30,7865950,38500,4532.8,"185"
"16529","2015","RJ","PSOL",5,933,46,12141145,35388.11,1018.24,"137"
"16015","2015","RJ","PSL",1,933,46,12141145,35388.11,3539.42,"24"
"16574","2015","RJ","PSDB",54,933,46,12141145,35388.11,8495,"150"
"16263","2015","RJ","PATRIOTA",5,933,46,12141145,35388.11,10421.16,"72"
"16350","2015","RJ","PTB",25,933,46,12141145,35388.11,175063.03,"92"
"16441","2015","RJ","PROS",11,933,46,12141145,35388.11,315.18,"112"
"15922","2015","RJ","PL",34,933,46,12141145,35388.11,240450,"6"
"16567","2015","RJ","PP",38,933,46,12141145,35388.11,29829.26,"146"
"16463","2015","RJ","PTB",25,933,46,12141145,35388.11,141170,"115"
"16436","2015","RJ","PSOL",5,933,46,12141145,35388.11,57860.32,"110"
"16558","2015","RJ","PSD",36,933,46,12141145,35388.11,126276.53,"141"
"16480","2015","RJ","PSB",34,933,46,12141145,35388.11,10982.14,"122"
"15953","2015","RJ","PSD",36,933,46,12141145,35388.11,29325,"11"
"16506","2015","RJ","PROS",11,933,46,12141145,35388.11,6961.37,"131"
"16432","2015","RJ","MDB",65,933,46,12141145,35388.11,216610.02,"108"
"16316","2015","RJ","PCdoB",10,933,46,12141145,35388.11,33641.62,"87"
"16088","2015","RJ","PT",68,933,46,12141145,35388.11,3438.72,"35"
"16077","2015","RJ","PSDB",54,933,46,12141145,35388.11,41373.43,"34"
"16467","2015","RJ","PL",34,933,46,12141145,35388.11,230821.11,"116"
"16303","2015","RJ","PT",68,933,46,12141145,35388.11,10060.6,"84"
"16277","2015","RJ","PSD",36,933,46,12141145,35388.11,67712.92,"78"
"16354","2015","RJ","PSOL",5,933,46,12141145,35388.11,201574,"94"
"17502","2015","RN","PP",38,1775,8,2327451,42360.13,20572.34,"29"
"17498","2015","RN","PODEMOS",9,1775,8,2327451,42360.13,28360.45,"28"
"17518","2015","RN","PSB",34,1775,8,2327451,42360.13,12643.55,"34"
"17432","2015","RN","PODEMOS",9,1775,8,2327451,42360.13,4096.64,"13"
"17538","2015","RN","PSDB",54,1775,8,2327451,42360.13,3673.81,"44"
"17503","2015","RN","PSD",36,1775,8,2327451,42360.13,51774.92,"30"
"17520","2015","RN","PP",38,1775,8,2327451,42360.13,5407.7,"35"
"17388","2015","RN","PSDB",54,1775,8,2327451,42360.13,17126.03,"5"
"17497","2015","RN","DEM",21,1775,8,2327451,42360.13,34577.96,"27"
"18276","2015","RO","DEM",21,1900,8,1127154,43300.63,54543.86,"26"
"18408","2015","RO","PL",34,1900,8,1127154,43300.63,18298.42,"60"
"18373","2015","RO","PSDB",54,1900,8,1127154,43300.63,2226.13,"51"
"18309","2015","RO","PL",34,1900,8,1127154,43300.63,5524.63,"33"
"18342","2015","RO","PSD",36,1900,8,1127154,43300.63,27399.21,"43"
"18293","2015","RO","PSD",36,1900,8,1127154,43300.63,3374.89,"31"
"18210","2015","RO","PSD",36,1900,8,1127154,43300.63,17204.32,"12"
"18245","2015","RO","MDB",65,1900,8,1127154,43300.63,50745.4,"21"
"18254","2015","RO","MDB",65,1900,8,1127154,43300.63,36085.27,"24"
"18831","2015","RR","PL",34,2496,8,299558,45240.67,88000,"13"
"18869","2015","RR","PP",38,2496,8,299558,45240.67,3791.92,"24"
"18927","2015","RR","PL",34,2496,8,299558,45240.67,26741.14,"36"
"18882","2015","RR","PL",34,2496,8,299558,45240.67,158756,"28"
"19019","2015","RR","PODEMOS",9,2496,8,299558,45240.67,47351.78,"65"
"18957","2015","RR","DEM",21,2496,8,299558,45240.67,859.39,"43"
"18995","2015","RR","PODEMOS",9,2496,8,299558,45240.67,35155.53,"58"
"18822","2015","RR","PSDB",54,2496,8,299558,45240.67,5943.87,"11"
"19080","2015","RR","PL",34,2496,8,299558,45240.67,15000,"75"
"18817","2015","RR","REPUBLICANOS",21,2496,8,299558,45240.67,114500,"9"
"20344","2015","RS","REPUBLICANOS",21,1619,31,8392033,40504.04,9929.68,"131"
"20006","2015","RS","PSD",36,1619,31,8392033,40504.04,195408.64,"62"
"19992","2015","RS","DEM",21,1619,31,8392033,40504.04,50597.5,"57"
"19997","2015","RS","PSB",34,1619,31,8392033,40504.04,13709.45,"58"
"20008","2015","RS","PP",38,1619,31,8392033,40504.04,87492.53,"63"
"20085","2015","RS","PP",38,1619,31,8392033,40504.04,1803.58,"85"
"20308","2015","RS","MDB",65,1619,31,8392033,40504.04,4266,"126"
"20319","2015","RS","PL",34,1619,31,8392033,40504.04,40489.34,"129"
"20092","2015","RS","REDE",NA,1619,31,8392033,40504.04,988.1,"88"
"20264","2015","RS","PL",34,1619,31,8392033,40504.04,744.15,"119"
"19227","2015","RS","REPUBLICANOS",21,1619,31,8392033,40504.04,22267.7,"27"
"20000","2015","RS","PSD",36,1619,31,8392033,40504.04,100800,"59"
"19294","2015","RS","PSD",36,1619,31,8392033,40504.04,1390.65,"41"
"20212","2015","RS","PP",38,1619,31,8392033,40504.04,210952.26,"109"
"20197","2015","RS","PTB",25,1619,31,8392033,40504.04,25180.5,"107"
"20013","2015","RS","DEM",21,1619,31,8392033,40504.04,37913.4,"65"
"20129","2015","RS","PL",34,1619,31,8392033,40504.04,48106.96,"95"
"20711","2015","SC","PL",34,1314,16,4859324,39505.92,850,"72"
"20823","2015","SC","MDB",65,1314,16,4859324,39505.92,114437.48,"103"
"20658","2015","SC","PP",38,1314,16,4859324,39505.92,260187.07,"55"
"20678","2015","SC","PSDB",54,1314,16,4859324,39505.92,53287.2,"62"
"20784","2015","SC","PSD",36,1314,16,4859324,39505.92,46000.44,"96"
"20440","2015","SC","PP",38,1314,16,4859324,39505.92,52241.3,"11"
"20814","2015","SC","PSB",34,1314,16,4859324,39505.92,9100,"100"
"20702","2015","SC","PSB",34,1314,16,4859324,39505.92,2828.98,"68"
"20464","2015","SC","MDB",65,1314,16,4859324,39505.92,21044.94,"14"
"20828","2015","SC","PSB",34,1314,16,4859324,39505.92,15402.94,"106"
"20736","2015","SC","PT",68,1314,16,4859324,39505.92,198.54,"82"
"20826","2015","SC","PSB",34,1314,16,4859324,39505.92,2384.13,"105"
"20466","2015","SC","PSD",36,1314,16,4859324,39505.92,74523.18,"15"
"20855","2015","SC","PT",68,1314,16,4859324,39505.92,615,"113"
"20553","2015","SC","PCdoB",10,1314,16,4859324,39505.92,12200,"33"
"21372","2015","SE","PSD",36,1292,8,1454165,39767.4,628.2,"8"
"21484","2015","SE","PP",38,1292,8,1454165,39767.4,736.69,"33"
"21629","2015","SE","PP",38,1292,8,1454165,39767.4,1795.2,"67"
"21595","2015","SE","PP",38,1292,8,1454165,39767.4,84570,"57"
"21533","2015","SE","PSD",36,1292,8,1454165,39767.4,100000,"45"
"21589","2015","SE","PT",68,1292,8,1454165,39767.4,650,"54"
"21619","2015","SE","PSD",36,1292,8,1454165,39767.4,95000,"63"
"21520","2015","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,128576,"41"
"21568","2015","SE","PSB",34,1292,8,1454165,39767.4,40565.13,"49"
"21456","2015","SE","PP",38,1292,8,1454165,39767.4,117484.06,"27"
"22156","2015","SP","PSB",34,873,70,31998432,36671.67,154800,"67"
"22291","2015","SP","PSDB",54,873,70,31998432,36671.67,449,"104"
"22809","2015","SP","PSOL",5,873,70,31998432,36671.67,800,"159"
"22129","2015","SP","SOLIDARIEDADE",15,873,70,31998432,36671.67,600.4,"60"
"21875","2015","SP","PSC",13,873,70,31998432,36671.67,3442.98,"3"
"22967","2015","SP","DEM",21,873,70,31998432,36671.67,532,"183"
"22469","2015","SP","PSOL",5,873,70,31998432,36671.67,10159.99,"145"
"22339","2015","SP","PCdoB",10,873,70,31998432,36671.67,30151.48,"113"
"22751","2015","SP","PV",8,873,70,31998432,36671.67,10694,"152"
"21913","2015","SP","PSDB",54,873,70,31998432,36671.67,207872.75,"13"
"22226","2015","SP","MDB",65,873,70,31998432,36671.67,135935,"83"
