"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"19676","2015","3","55","1","RO","PSDB","SERVIÇOS POSTAIS",54,1900,8,1127154,43300.63,211.65,"2"
"20300","2015","3","55","1","RR","PODEMOS","SERVIÇOS POSTAIS",9,2496,8,299558,45240.67,81.97,"2"
"19843","2015","3","55","1","RR","PP","SERVIÇOS POSTAIS",38,2496,8,299558,45240.67,109.71,"1"
"21117","2015","3","55","1","RS","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1619,31,8392033,40504.04,88,"2"
"20947","2015","3","55","1","RS","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,1619,31,8392033,40504.04,74.4,"2"
"21102","2015","3","55","1","RS","REDE","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",NA,1619,31,8392033,40504.04,41.5,"2"
"23026","2015","3","55","1","SC","PL","SERVIÇOS POSTAIS",34,1314,16,4859324,39505.92,177.79,"3"
"23359","2015","3","55","1","SE","PSC","SERVIÇOS POSTAIS",13,1292,8,1454165,39767.4,74.09,"1"
"23402","2015","3","55","1","SE","REPUBLICANOS","SERVIÇOS POSTAIS",21,1292,8,1454165,39767.4,192.59,"2"
"24074","2015","3","55","1","SP","PCdoB","SERVIÇOS POSTAIS",10,873,70,31998432,36671.67,3.9,"1"
"24738","2015","3","55","1","SP","PSC","ASSINATURA DE PUBLICAÇÕES",13,873,70,31998432,36671.67,59.9,"3"
"24022","2015","3","55","1","SP","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,873,70,31998432,36671.67,176.73,"1"
"25443","2015","3","55","1","TO","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,620,8,996887,39131.75,39.5,"1"
"1083","2015","4","55","1","AL","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1485,9,1995727,40572.24,178.45,"2"
"597","2015","4","55","1","AL","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1485,9,1995727,40572.24,210,"2"
"1481","2015","4","55","1","AM","PSDB","SERVIÇOS POSTAIS",54,1932,8,2226891,43198.26,3,"1"
"2064","2015","4","55","1","AP","PP","TELEFONIA",38,1791,8,455514,43002.92,147.32,"2"
"2596","2015","4","55","1","BA","PODEMOS","PASSAGEM AÉREA",9,1060,39,10185417,38638.99,-957.8,"1"
"2844","2015","4","55","1","BA","PSC","SERVIÇOS POSTAIS",13,1060,39,10185417,38638.99,16.8,"1"
"3175","2015","4","55","1","BA","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1060,39,10185417,38638.99,132.83,"2"
