"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"160084","2016","2","55","SC","MDB",65,1314,16,4859324,39505.92,29575.39,"1925"
"31911","2016","2","55","CE","PSB",34,1687,22,6271554,42079.91,15600,"371"
"183452","2016","2","55","TO","DEM",21,620,8,996887,39131.75,4278.09,"2195"
"61951","2016","2","55","MG","PSDB",54,624,53,15248681,35720.85,2397.18,"784"
"177600","2016","2","55","SP","PCdoB",10,873,70,31998432,36671.67,7360.3,"2133"
"101047","2016","3","55","PE","SOLIDARIEDADE",15,1657,25,6356307,41304.94,603.27,"1273"
"131843","2016","3","55","RN","PSB",34,1775,8,2327451,42360.13,1207.2,"1707"
"158658","2016","3","55","SC","PP",38,1314,16,4859324,39505.92,586.47,"1983"
"70429","2016","3","55","MG","MDB",65,624,53,15248681,35720.85,540,"887"
"111850","2016","3","55","PR","PROS",11,1081,30,7865950,38500,6356.52,"1463"
"49016","2016","3","55","GO","PDT",20,173,17,4331733,35135.2,6000,"648"
"57377","2016","3","55","MG","AVANTE",2,624,53,15248681,35720.85,3971.43,"760"
"170251","2016","3","55","SP","PSD",36,873,70,31998432,36671.67,3099.92,"2144"
"161697","2016","3","55","SC","PSDB",54,1314,16,4859324,39505.92,2267.6,"2050"
"174123","2016","3","55","SP","PV",8,873,70,31998432,36671.67,9145.36,"2158"
"62910","2016","4","55","MG","DEM",21,624,53,15248681,35720.85,11654.86,"880"
"143954","2016","4","55","RR","DEM",21,2496,8,299558,45240.67,8500,"1833"
"100301","2016","4","55","PE","PCdoB",10,1657,25,6356307,41304.94,682.66,"1248"
"6727","2016","4","55","AL","PODEMOS",9,1485,9,1995727,40572.24,104.3,"70"
"99380","2016","4","55","PE","PP",38,1657,25,6356307,41304.94,326.77,"1232"
"148171","2016","4","55","RS","PSB",34,1619,31,8392033,40504.04,2829.27,"1913"
"122217","2016","4","55","RJ","PSD",36,933,46,12141145,35388.11,2950,"1592"
"31882","2016","4","55","CE","PDT",20,1687,22,6271554,42079.91,15749.9,"413"
"150807","2016","4","55","RS","PTB",25,1619,31,8392033,40504.04,9567,"1971"
"135519","2016","4","55","RN","PSD",36,1775,8,2327451,42360.13,9000,"1727"
"89065","2016","5","55","PB","PT",68,1716,12,2835882,41660.7,403.2,"1140"
"32516","2016","5","55","CE","PDT",20,1687,22,6271554,42079.91,15356.71,"417"
"53706","2016","5","55","MA","PDT",20,1524,18,4497336,41779.83,3831.32,"723"
"169898","2016","5","55","SP","MDB",65,873,70,31998432,36671.67,9150.12,"2114"
"80536","2016","5","55","PA","MDB",65,1592,17,5188450,41855.59,7320.36,"1041"
"47422","2016","5","55","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,1440.21,"611"
"103086","2016","5","55","PE","PCdoB",10,1657,25,6356307,41304.94,108.39,"1293"
"47437","2016","5","55","GO","REPUBLICANOS",21,173,17,4331733,35135.2,2651.04,"612"
"7036","2016","5","55","AL","PT",68,1485,9,1995727,40572.24,99.24,"82"
"39988","2016","5","55","ES","PT",68,947,10,2653536,37052.05,5326.54,"555"
"21119","2016","6","55","BA","PCdoB",10,1060,39,10185417,38638.99,5749.93,"276"
"163231","2016","6","55","SE","PSD",36,1292,8,1454165,39767.4,20000,"2001"
"178828","2016","6","55","SP","PTB",25,873,70,31998432,36671.67,3679.37,"2192"
"2398","2016","6","55","AC","PT",68,2246,8,506724,44260.6,28467.98,"18"
"105271","2016","6","55","PI","PP",38,1313,10,2345694,40599.91,1081.94,"1290"
"121510","2016","6","55","RJ","MDB",65,933,46,12141145,35388.11,181.52,"1517"
