"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"17029","2015","RR","PSDB",54,2496,8,299558,45240.67,58813.01,"4"
"17113","2015","RR","REPUBLICANOS",21,2496,8,299558,45240.67,40000,"7"
"17218","2015","RS","DEM",21,1619,31,8392033,40504.04,19800,"1"
"18023","2015","RS","MDB",65,1619,31,8392033,40504.04,1260,"5"
"17397","2015","RS","PDT",20,1619,31,8392033,40504.04,5244.44,"6"
"17363","2015","RS","PL",34,1619,31,8392033,40504.04,9989.1,"4"
"17293","2015","RS","PP",38,1619,31,8392033,40504.04,12222.05,"1"
"17367","2015","RS","PSB",34,1619,31,8392033,40504.04,27600.13,"5"
"18016","2015","RS","PSD",36,1619,31,8392033,40504.04,100800,"3"
"17244","2015","RS","PSDB",54,1619,31,8392033,40504.04,4956.02,"1"
"17418","2015","RS","PT",68,1619,31,8392033,40504.04,12043.06,"6"
"18127","2015","RS","PTB",25,1619,31,8392033,40504.04,10823.87,"4"
"18089","2015","RS","REDE",NA,1619,31,8392033,40504.04,5367.6,"5"
"17420","2015","RS","REPUBLICANOS",21,1619,31,8392033,40504.04,3285.43,"3"
"18609","2015","SC","CIDADANIA",10,1314,16,4859324,39505.92,1493.7,"9"
"18432","2015","SC","MDB",65,1314,16,4859324,39505.92,21044.94,"2"
"18568","2015","SC","PCdoB",10,1314,16,4859324,39505.92,896.45,"6"
"18669","2015","SC","PL",34,1314,16,4859324,39505.92,104241.29,"8"
"18712","2015","SC","PP",38,1314,16,4859324,39505.92,6371.24,"12"
"18639","2015","SC","PSB",34,1314,16,4859324,39505.92,2828.98,"6"
"18522","2015","SC","PSD",36,1314,16,4859324,39505.92,6549.8,"4"
"18525","2015","SC","PSDB",54,1314,16,4859324,39505.92,88134.51,"2"
"18515","2015","SC","PT",68,1314,16,4859324,39505.92,65620.95,"4"
"19296","2015","SE","MDB",65,1292,8,1454165,39767.4,73230.73,"1"
"19445","2015","SE","PL",34,1292,8,1454165,39767.4,110000,"5"
