"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"164175","2016","1","55","SE","PT",68,1292,8,1454165,39767.4,10000,"1818"
"6809","2016","1","55","AL","AVANTE",2,1485,9,1995727,40572.24,10900,"63"
"97744","2016","1","55","PE","PSB",34,1657,25,6356307,41304.94,3087.5,"1031"
"59345","2016","1","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,2080.71,"684"
"134933","2016","1","55","RN","PODEMOS",9,1775,8,2327451,42360.13,1592.1,"1495"
"31515","2016","1","55","CE","PSD",36,1687,22,6271554,42079.91,591.91,"351"
"107283","2016","2","55","PI","DEM",21,1313,10,2345694,40599.91,2300.28,"1310"
"125226","2016","2","55","RJ","PP",38,933,46,12141145,35388.11,9900,"1574"
"175044","2016","2","55","SP","PTB",25,873,70,31998432,36671.67,4314.51,"2075"
"69733","2016","2","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,256,"825"
"47878","2016","2","55","GO","PDT",20,173,17,4331733,35135.2,25000,"576"
"28920","2016","2","55","CE","PP",38,1687,22,6271554,42079.91,6005.42,"317"
"2937","2016","2","55","AC","PSB",34,2246,8,506724,44260.6,243.89,"23"
"150234","2016","2","55","RS","REPUBLICANOS",21,1619,31,8392033,40504.04,1046.81,"1854"
"22326","2016","2","55","BA","PSD",36,1060,39,10185417,38638.99,19697.56,"285"
"124396","2016","3","55","RJ","MDB",65,933,46,12141145,35388.11,27436.45,"1653"
"32927","2016","3","55","CE","PTB",25,1687,22,6271554,42079.91,1420.77,"433"
"99649","2016","3","55","PE","PDT",20,1657,25,6356307,41304.94,366.19,"1235"
"51341","2016","3","55","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,24000,"686"
"19586","2016","3","55","BA","PTB",25,1060,39,10185417,38638.99,6400,"240"
"6773","2016","3","55","AL","PODEMOS",9,1485,9,1995727,40572.24,6447.45,"68"
"36456","2016","3","55","DF","DEM",21,0,8,1897677,30416.8,1127.94,"486"
"72915","2016","3","55","MS","PSDB",54,878,8,1818937,40170.98,5775.94,"941"
"3393","2016","3","55","AC","PSB",34,2246,8,506724,44260.6,127,"34"
"89895","2016","3","55","PB","PP",38,1716,12,2835882,41660.7,17471.79,"1181"
"31452","2016","4","55","CE","PSDB",54,1687,22,6271554,42079.91,3439,"406"
"126455","2016","4","55","RJ","PT",68,933,46,12141145,35388.11,7060.93,"1686"
"31974","2016","4","55","CE","PDT",20,1687,22,6271554,42079.91,965.68,"418"
"175118","2016","4","55","SP","PT",68,873,70,31998432,36671.67,1272.68,"2179"
"146121","2016","4","55","RS","REDE",NA,1619,31,8392033,40504.04,3000,"1865"
"143954","2016","4","55","RR","DEM",21,2496,8,299558,45240.67,8500,"1833"
"57319","2016","4","55","MG","PL",34,624,53,15248681,35720.85,309.67,"762"
"163821","2016","4","55","SE","PSD",36,1292,8,1454165,39767.4,340.82,"2086"
"165164","2016","4","55","SE","PSC",13,1292,8,1454165,39767.4,190,"2116"
"10828","2016","4","55","AM","PDT",20,1932,8,2226891,43198.26,24500,"129"
"114689","2016","5","55","PR","PSC",13,1081,30,7865950,38500,17000,"1492"
"18285","2016","5","55","BA","PCdoB",10,1060,39,10185417,38638.99,1308.83,"221"
"131978","2016","5","55","RN","DEM",21,1775,8,2327451,42360.13,8550,"1688"
"38284","2016","5","55","ES","PP",38,947,10,2653536,37052.05,231.07,"515"
