"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"3043","2019","55","5","BA","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,1060,39,10185417,38638.99,431.22,"2"
"2819","2019","55","5","BA","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1060,39,10185417,38638.99,997.02,"2"
"2954","2019","55","5","BA","PT","SERVIÇOS POSTAIS",68,1060,39,10185417,38638.99,724.02,"2"
"3274","2019","55","5","BA","PT","TELEFONIA",68,1060,39,10185417,38638.99,12211.95,"2"
"3280","2019","55","5","BA","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",21,1060,39,10185417,38638.99,12000,"1"
"2790","2019","55","5","BA","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1060,39,10185417,38638.99,1121.68,"2"
"2974","2019","55","5","BA","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,1060,39,10185417,38638.99,4550,"2"
"2857","2019","55","5","BA","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,1060,39,10185417,38638.99,5999.6,"1"
"3013","2019","55","5","BA","REPUBLICANOS","SERVIÇOS POSTAIS",21,1060,39,10185417,38638.99,378.21,"2"
"3068","2019","55","5","BA","REPUBLICANOS","TELEFONIA",21,1060,39,10185417,38638.99,3885.14,"1"
"4351","2019","56","1","CE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,1687,22,6344483,42079.91,197662.48,"2"
"4599","2019","56","1","CE","PDT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",28,1687,22,6344483,42079.91,50030.1,"2"
"3868","2019","55","5","CE","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1687,22,6271554,42079.91,3246.16,"1"
"4251","2019","55","5","CE","PDT","TELEFONIA",20,1687,22,6271554,42079.91,2723.79,"1"
"4465","2019","56","1","CE","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1687,22,6344483,42079.91,31449.4,"2"
"3769","2019","55","5","CE","PL","DIVULGAÇÃO MANDATO",34,1687,22,6271554,42079.91,37905,"1"
"4480","2019","56","1","CE","PL","LOCAÇÃO DE AUTOMÓVEIS",33,1687,22,6344483,42079.91,118685.44,"2"
"4425","2019","56","1","CE","PL","SERVIÇOS POSTAIS",33,1687,22,6344483,42079.91,2804.42,"2"
"4363","2019","56","1","CE","PL","TELEFONIA",33,1687,22,6344483,42079.91,3370.18,"2"
"4383","2019","56","1","CE","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1687,22,6344483,42079.91,17532.3,"2"
"4217","2019","55","5","CE","PP","DIVULGAÇÃO MANDATO",38,1687,22,6271554,42079.91,34358.5,"1"
"3650","2019","55","5","CE","PP","PASSAGEM AÉREA",38,1687,22,6271554,42079.91,7734.3,"1"
"4537","2019","56","1","CE","PP","TELEFONIA",38,1687,22,6344483,42079.91,5045.74,"2"
"3912","2019","55","5","CE","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,1687,22,6271554,42079.91,33634.8,"1"
"4318","2019","55","5","CE","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1687,22,6271554,42079.91,6000,"1"
"4058","2019","55","5","CE","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1687,22,6271554,42079.91,3300,"1"
"4531","2019","56","1","CE","PSB","PASSAGEM AÉREA",32,1687,22,6344483,42079.91,112864.41,"2"
"4449","2019","56","1","CE","PSB","TELEFONIA",32,1687,22,6344483,42079.91,714.88,"2"
"4287","2019","55","5","CE","PSD","DIVULGAÇÃO MANDATO",36,1687,22,6271554,42079.91,12000,"1"
"4279","2019","55","5","CE","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1687,22,6271554,42079.91,6469.71,"1"
"4642","2019","56","1","CE","PSDB","DIVULGAÇÃO MANDATO",29,1687,22,6344483,42079.91,130115.28,"2"
"4502","2019","56","1","CE","PSDB","LOCAÇÃO DE AUTOMÓVEIS",29,1687,22,6344483,42079.91,68589.02,"2"
"4152","2019","55","5","CE","PSDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",54,1687,22,6271554,42079.91,7500,"1"
"4511","2019","56","1","CE","PSDB","MANUTENÇÃO DE ESCRITÓRIO",29,1687,22,6344483,42079.91,5036.5,"2"
"3670","2019","55","5","CE","PSDB","PASSAGEM AÉREA",54,1687,22,6271554,42079.91,12330.94,"1"
"3709","2019","55","5","CE","PSDB","SERVIÇOS POSTAIS",54,1687,22,6271554,42079.91,470.33,"1"
"4508","2019","56","1","CE","PSDB","TELEFONIA",29,1687,22,6344483,42079.91,2254.86,"2"
"4310","2019","55","5","CE","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1687,22,6271554,42079.91,20000,"1"
"4104","2019","55","5","CE","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1687,22,6271554,42079.91,11800,"1"
"3906","2019","55","5","CE","PT","DIVULGAÇÃO MANDATO",68,1687,22,6271554,42079.91,45470,"1"
"3744","2019","55","5","CE","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1687,22,6271554,42079.91,26933,"1"
"4509","2019","56","1","CE","PT","MANUTENÇÃO DE ESCRITÓRIO",54,1687,22,6344483,42079.91,117215.06,"2"
"4659","2019","56","1","CE","PT","SERVIÇOS POSTAIS",54,1687,22,6344483,42079.91,7538.51,"2"
