"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"126305","2018","7","55","4","RJ","REDE","PASSAGEM AÉREA",NA,933,46,12141145,35388.11,12549.11,"1352"
"85891","2018","8","55","4","PA","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",13,1592,17,5188450,41855.59,806.86,"825"
"146545","2018","8","55","4","RR","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,2496,8,299558,45240.67,6000,"1438"
"177946","2018","9","55","4","SP","DEM","SERVIÇOS POSTAIS",21,873,70,31998432,36671.67,449.38,"1469"
"115941","2018","9","55","4","PR","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,1081,30,7865950,38500,200.38,"1036"
"166796","2018","10","55","4","SE","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1292,8,1454165,39767.4,9000,"1686"
"140428","2018","10","55","4","RO","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1900,8,1127154,43300.63,6000,"1426"
"90143","2018","11","55","4","PB","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1716,12,2835882,41660.7,2001.47,"939"
"90234","2018","11","55","4","PB","PSC","PASSAGEM AÉREA",13,1716,12,2835882,41660.7,8183.57,"944"
"144945","2018","12","55","4","RR","REPUBLICANOS","PASSAGEM AÉREA",21,2496,8,299558,45240.67,2396.65,"1488"
"33173","2018","12","55","4","CE","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1687,22,6271554,42079.91,160,"339"
"140515","2019","1","55","5","RO","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1900,8,1127154,43300.63,368.04,"1372"
"37181","2019","1","55","5","DF","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,0,8,1897677,30416.8,2131.75,"362"
"169740","2019","2","56","1","SE","PT","MANUTENÇÃO DE ESCRITÓRIO",54,1292,8,1577058,39767.4,5139.85,"1690"
"28927","2019","2","56","1","CE","PSB","LOCAÇÃO DE AUTOMÓVEIS",32,1687,22,6344483,42079.91,8800,"329"
"38708","2019","3","56","1","ES","REPUBLICANOS","PASSAGEM AÉREA",30,947,10,2754728,37052.05,10930.22,"406"
"94708","2019","3","56","1","PB","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",8,1716,12,2867649,41660.7,137.77,"1012"
"160573","2019","4","56","1","SC","PT","ASSINATURA DE PUBLICAÇÕES",54,1314,16,5070212,39505.92,399,"1712"
"145695","2019","4","56","1","RR","UNIÃO","TELEFONIA",52,2496,8,333464,45240.67,670.29,"1534"
"93549","2019","5","56","1","PB","PP","PASSAGEM AÉREA",38,1716,12,2867649,41660.7,21689.41,"985"
"16182","2019","5","56","1","BA","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",30,1060,39,10393170,38638.99,11888.15,"187"
"67497","2019","6","56","1","MG","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",33,624,53,15700966,35720.85,801.85,"715"
"120118","2019","6","56","1","PR","CIDADANIA","SERVIÇOS POSTAIS",8,1081,30,7971087,38500,73.88,"1243"
"155206","2019","7","56","1","RS","PODEMOS","DIVULGAÇÃO MANDATO",17,1619,31,8354732,40504.04,13027.16,"1578"
"44647","2019","7","56","1","GO","MDB","DIVULGAÇÃO MANDATO",34,173,17,4454497,35135.2,5100,"469"
"169560","2019","8","56","1","SE","PL","DIVULGAÇÃO MANDATO",33,1292,8,1577058,39767.4,7100,"1762"
"83348","2019","8","56","1","PA","PSOL","MANUTENÇÃO DE ESCRITÓRIO",10,1592,17,5499283,41855.59,2928.49,"884"
"155696","2019","9","56","1","RS","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",29,1619,31,8354732,40504.04,1210.87,"1621"
"155284","2019","9","56","1","RS","PSD","COMBUSTÍVEIS E LUBRIFICANTES",35,1619,31,8354732,40504.04,9766.99,"1611"
"160286","2019","10","56","1","SC","CIDADANIA","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",8,1314,16,5070212,39505.92,113.61,"1709"
"51013","2019","10","56","1","MA","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",30,1524,18,4537237,41779.83,9926,"532"
"184668","2019","11","56","1","TO","PSC","SERVIÇOS POSTAIS",8,620,8,1039439,39131.75,33.1,"1913"
"169678","2019","11","56","1","SE","PSD","TELEFONIA",35,1292,8,1577058,39767.4,4274.55,"1740"
"185636","2019","12","56","1","TO","UNIÃO","COMBUSTÍVEIS E LUBRIFICANTES",52,620,8,1039439,39131.75,7265.78,"1845"
"176527","2019","12","56","1","SP","PSD","PASSAGEM AÉREA",35,873,70,33040411,36671.67,12211.61,"1785"
"77817","2020","1","56","2","MT","PP","LOCAÇÃO DE AUTOMÓVEIS",38,873,8,2330281,39056.17,11000,"751"
"36123","2020","1","56","2","DF","PP","TELEFONIA",38,0,8,2084356,30416.8,6.02,"357"
"156443","2020","2","56","2","RS","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",28,1619,31,8354732,40504.04,452.85,"1585"
"43523","2020","2","56","2","ES","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,947,10,2754728,37052.05,5133.29,"431"
"44767","2020","3","56","2","GO","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",33,173,17,4454497,35135.2,291.31,"462"
"2194","2020","3","56","2","AC","MDB","MANUTENÇÃO DE ESCRITÓRIO",34,2246,8,547680,44260.6,979.2,"25"
"186705","2020","4","56","2","TO","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,620,8,1039439,39131.75,488.11,"1446"
"25107","2020","5","56","2","BA","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",29,1060,39,10393170,38638.99,5000,"188"
"145352","2020","6","56","2","RR","PP","MANUTENÇÃO DE ESCRITÓRIO",38,2496,8,333464,45240.67,3568.18,"1176"
"18054","2020","6","56","2","BA","AVANTE","MANUTENÇÃO DE ESCRITÓRIO",7,1060,39,10393170,38638.99,1457,"159"
"11989","2020","7","56","2","AP","PP","PASSAGEM AÉREA",38,1791,8,512110,43002.92,10697.27,"98"
"121777","2020","7","56","2","PR","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1081,30,7971087,38500,22000,"990"
"98093","2020","8","56","2","PE","PSB","TELEFONIA",32,1657,25,6570072,41304.94,2904.04,"886"
"170259","2020","8","56","2","SE","PL","SERVIÇOS POSTAIS",33,1292,8,1577058,39767.4,79.54,"1475"
"98296","2020","9","56","2","PE","PDT","TELEFONIA",28,1657,25,6570072,41304.94,900.13,"872"
"133472","2020","9","56","2","RJ","PSD","ASSESSORIA TÉCNICA/JURÍDICA",35,933,46,12408340,35388.11,10500,"1124"
"36164","2020","10","56","2","DF","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",30,0,8,2084356,30416.8,450,"311"
"159392","2020","10","56","2","SC","PODEMOS","ASSESSORIA TÉCNICA/JURÍDICA",17,1314,16,5070212,39505.92,1800,"1384"
"159870","2020","11","56","2","SC","PSDB","DIVULGAÇÃO MANDATO",29,1314,16,5070212,39505.92,6518,"1377"
"5958","2020","11","56","2","AL","PT","TELEFONIA",54,1485,9,2187967,40572.24,1257.13,"57"
"140030","2020","12","56","2","RO","PODEMOS","DIVULGAÇÃO MANDATO",17,1900,8,1175733,43300.63,2800,"1173"
"35465","2020","12","56","2","DF","PSB","LOCAÇÃO DE AUTOMÓVEIS",32,0,8,2084356,30416.8,4900,"297"
"118858","2021","1","56","3","PR","PT","LOCAÇÃO DE AUTOMÓVEIS",54,1081,30,7971087,38500,16183.47,"1006"
"58574","2021","1","56","3","MA","PL","DIVULGAÇÃO MANDATO",33,1524,18,4537237,41779.83,22800,"507"
"146386","2021","2","56","3","RR","SOLIDARIEDADE","PASSAGEM AÉREA",13,2496,8,333464,45240.67,9818.68,"1348"
"98484","2021","2","56","3","PE","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1657,25,6570072,41304.94,6838.33,"941"
"97645","2021","3","56","3","PE","PSB","TELEFONIA",32,1657,25,6570072,41304.94,3374.77,"889"
"133089","2021","3","56","3","RJ","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,933,46,12408340,35388.11,10000,"1139"
"169768","2021","4","56","3","SE","UNIÃO","TELEFONIA",52,1292,8,1577058,39767.4,397.62,"1492"
"121978","2021","4","56","3","PR","PL","ASSINATURA DE PUBLICAÇÕES",33,1081,30,7971087,38500,78.9,"1056"
"156748","2021","5","56","3","RS","PODEMOS","SERVIÇOS POSTAIS",17,1619,31,8354732,40504.04,147,"1427"
"172172","2021","5","56","3","SP","PSC","TELEFONIA",8,873,70,33040411,36671.67,1055.19,"1615"
"148572","2021","6","56","3","RS","MDB","PASSAGEM AÉREA",34,1619,31,8354732,40504.04,10209.42,"1385"
"45872","2021","6","56","3","GO","REPUBLICANOS","DIVULGAÇÃO MANDATO",30,173,17,4454497,35135.2,7000,"433"
"57754","2021","7","56","3","MA","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1524,18,4537237,41779.83,12713,"508"
"158598","2021","7","56","3","RS","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",33,1619,31,8354732,40504.04,3661.9,"1493"
"2552","2021","8","56","3","AC","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,2246,8,547680,44260.6,5996.97,"35"
"120812","2021","8","56","3","PR","MDB","LOCAÇÃO DE AUTOMÓVEIS",34,1081,30,7971087,38500,13269.8,"1090"
"132600","2021","9","56","3","RJ","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",29,933,46,12408340,35388.11,2737.31,"1201"
"43972","2021","9","56","3","GO","REPUBLICANOS","TELEFONIA",30,173,17,4454497,35135.2,446.42,"405"
"77930","2021","10","56","3","MT","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,873,8,2330281,39056.17,1844.13,"731"
"16652","2021","10","56","3","BA","PSB","SERVIÇOS POSTAIS",32,1060,39,10393170,38638.99,44.5,"173"
"17686","2021","11","56","3","BA","UNIÃO","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",52,1060,39,10393170,38638.99,529,"182"
"166621","2021","11","56","3","SC","PSD","DIVULGAÇÃO MANDATO",35,1314,16,5070212,39505.92,20400,"1525"
"5833","2021","12","56","3","AL","PSDB","TELEFONIA",29,1485,9,2187967,40572.24,5.44,"47"
"1693","2021","12","56","3","AC","PDT","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",28,2246,8,547680,44260.6,1500,"14"
"145947","2022","1","56","4","RR","REDE","MANUTENÇÃO DE ESCRITÓRIO",1,2496,8,333464,45240.67,5534.81,"1264"
"42150","2022","1","56","4","ES","PT","TELEFONIA",54,947,10,2754728,37052.05,1443.31,"328"
"58039","2022","2","56","4","MA","UNIÃO","COMBUSTÍVEIS E LUBRIFICANTES",52,1524,18,4537237,41779.83,7479.78,"505"
"118574","2022","2","56","4","PR","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1081,30,7971087,38500,236.5,"1034"
"156152","2022","3","56","4","RS","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1619,31,8354732,40504.04,300,"1417"
"161299","2022","3","56","4","SC","PT","PASSAGEM AÉREA",54,1314,16,5070212,39505.92,14190.27,"1540"
"118910","2022","4","56","4","PR","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",35,1081,30,7971087,38500,170,"1028"
"161870","2022","4","56","4","SC","PP","DIVULGAÇÃO MANDATO",38,1314,16,5070212,39505.92,6000,"1515"
"157800","2022","5","56","4","RS","MDB","SERVIÇOS POSTAIS",34,1619,31,8354732,40504.04,796.96,"1438"
"146177","2022","5","56","4","RR","UNIÃO","MANUTENÇÃO DE ESCRITÓRIO",52,2496,8,333464,45240.67,4294.63,"1349"
"96163","2022","6","56","4","PE","REDE","PASSAGEM AÉREA",1,1657,25,6570072,41304.94,13580.86,"848"
"6446","2022","6","56","4","AL","MDB","MANUTENÇÃO DE ESCRITÓRIO",34,1485,9,2187967,40572.24,3200,"65"
"38596","2022","7","56","4","ES","PT","ASSESSORIA TÉCNICA/JURÍDICA",54,947,10,2754728,37052.05,6000,"306"
"175867","2022","7","56","4","SP","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",34,873,70,33040411,36671.67,186.4,"1502"
"83229","2022","8","56","4","PA","REPUBLICANOS","TELEFONIA",30,1592,17,5499283,41855.59,118.63,"663"
"133351","2022","9","56","4","RJ","MDB","ASSESSORIA TÉCNICA/JURÍDICA",34,933,46,12408340,35388.11,4000,"896"
"156010","2022","10","56","4","RS","PDT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",28,1619,31,8354732,40504.04,15.6,"1315"
"94201","2022","10","56","4","PB","PSB","PASSAGEM AÉREA",32,1716,12,2867649,41660.7,6586.38,"793"
"177476","2022","11","56","4","SP","PT","TELEFONIA",54,873,70,33040411,36671.67,7496.52,"1592"
"106320","2022","11","56","4","PI","PT","ASSESSORIA TÉCNICA/JURÍDICA",54,1313,10,2370894,40599.91,18000,"925"
"113738","2022","12","56","4","PR","PROS","LOCAÇÃO DE AUTOMÓVEIS",8,1081,30,7971087,38500,3892.56,"945"
"131399","2022","12","56","4","RJ","PATRIOTA","SERVIÇOS POSTAIS",9,933,46,12408340,35388.11,238.15,"1074"
"57932","2023","1","56","5","MA","REPUBLICANOS","PASSAGEM AÉREA",30,1524,18,4537237,41779.83,9183.49,"451"
"66021","2023","1","56","5","MG","PSC","PASSAGEM AÉREA",8,624,53,15700966,35720.85,3418.75,"508"
