"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"116386","2018","7","55","PI",25,1313,10,2345694,40599.91,21600,"8"
"127094","2018","7","55","PR",10,1081,30,7865950,38500,187.7,"115"
"126048","2018","7","55","PR",36,1081,30,7865950,38500,191.5,"100"
"138039","2018","7","55","RJ",5,933,46,12141145,35388.11,968.72,"91"
"137546","2018","7","55","RJ",5,933,46,12141145,35388.11,5294.72,"83"
"150202","2018","7","55","RN",21,1775,8,2327451,42360.13,3729.96,"31"
"154953","2018","7","55","RO",36,1900,8,1127154,43300.63,1364.52,"44"
"156088","2018","7","55","RR",54,2496,8,299558,45240.67,11258.63,"2"
"165587","2018","7","55","RS",34,1619,31,8392033,40504.04,252.24,"71"
"166850","2018","7","55","RS",38,1619,31,8392033,40504.04,436.32,"107"
"179663","2018","7","55","SC",54,1314,16,4859324,39505.92,8425.36,"82"
"179955","2018","7","55","SC",68,1314,16,4859324,39505.92,6686.4,"85"
"182780","2018","7","55","SE",38,1292,8,1454165,39767.4,3220,"37"
"199453","2018","7","55","SP",34,873,70,31998432,36671.67,15652.68,"158"
"194688","2018","7","55","SP",68,873,70,31998432,36671.67,67548.24,"70"
"188890","2018","7","55","SP",13,873,70,31998432,36671.67,14610.08,"21"
"205261","2018","7","55","TO",36,620,8,996887,39131.75,6000,"18"
"33","2018","8","55","AC",54,2246,8,506724,44260.6,893.5,"1"
"8474","2018","8","55","AL",9,1485,9,1995727,40572.24,5030.05,"41"
"11388","2018","8","55","AM",34,1932,8,2226891,43198.26,16419.58,"10"
"15264","2018","8","55","AP",9,1791,8,455514,43002.92,1970.59,"29"
"19815","2018","8","55","BA",20,1060,39,10185417,38638.99,3440.12,"8"
"22767","2018","8","55","BA",68,1060,39,10185417,38638.99,36057.44,"63"
"33404","2018","8","55","CE",68,1687,22,6271554,42079.91,466.16,"8"
"34080","2018","8","55","CE",10,1687,22,6271554,42079.91,156.44,"22"
"40712","2018","8","55","DF",34,0,8,1897677,30416.8,12500,"16"
"44925","2018","8","55","ES",15,947,10,2653536,37052.05,1554.08,"37"
"51751","2018","8","55","GO",21,173,17,4331733,35135.2,9000,"8"
"60667","2018","8","55","MA",21,1524,18,4497336,41779.83,2035.54,"74"
"59502","2018","8","55","MA",5,1524,18,4497336,41779.83,714.25,"53"
"69402","2018","8","55","MG",36,624,53,15248681,35720.85,11087.6,"81"
"68551","2018","8","55","MG",2,624,53,15248681,35720.85,2820.98,"62"
"83893","2018","8","55","MS",34,878,8,1818937,40170.98,10000,"42"
"87309","2018","8","55","MT",65,873,8,2189703,39056.17,12240,"20"
"89765","2018","8","55","PA",9,1592,17,5188450,41855.59,1044.7,"19"
"89634","2018","8","55","PA",15,1592,17,5188450,41855.59,217.82,"16"
"99442","2018","8","55","PB",34,1716,12,2835882,41660.7,100,"45"
"114561","2018","8","55","PE",34,1657,25,6356307,41304.94,6500,"107"
"113838","2018","8","55","PE",25,1657,25,6356307,41304.94,17172.23,"92"
"119384","2018","8","55","PI",68,1313,10,2345694,40599.91,3808.29,"42"
"127261","2018","8","55","PR",36,1081,30,7865950,38500,9785.83,"105"
"121676","2018","8","55","PR",10,1081,30,7865950,38500,125.81,"44"
"135103","2018","8","55","RJ",34,933,46,12141145,35388.11,4537.7,"34"
"138834","2018","8","55","RJ",21,933,46,12141145,35388.11,12000,"107"
"147476","2018","8","55","RN",54,1775,8,2327451,42360.13,2299.34,"14"
"153674","2018","8","55","RO",34,1900,8,1127154,43300.63,1678.29,"18"
"159544","2018","8","55","RR",9,2496,8,299558,45240.67,11200,"16"
"161931","2018","8","55","RS",65,1619,31,8392033,40504.04,710.03,"6"
"165356","2018","8","55","RS",20,1619,31,8392033,40504.04,16822.4,"70"
"179415","2018","8","55","SC",21,1314,16,4859324,39505.92,225.5,"60"
"182677","2018","8","55","SE",36,1292,8,1454165,39767.4,822.43,"30"
"193486","2018","8","55","SP",9,873,70,31998432,36671.67,2937.35,"34"
"195364","2018","8","55","SP",5,873,70,31998432,36671.67,13882.3,"70"
"194351","2018","8","55","SP",9,873,70,31998432,36671.67,16200,"56"
"204102","2018","8","55","TO",34,620,8,996887,39131.75,2751.45,"9"
"4162","2018","9","55","AC",54,2246,8,506724,44260.6,160.12,"30"
"7935","2018","9","55","AL",20,1485,9,1995727,40572.24,308.65,"23"
"12564","2018","9","55","AM",65,1932,8,2226891,43198.26,6300,"27"
"16218","2018","9","55","AP",34,1791,8,455514,43002.92,507.74,"37"
"24476","2018","9","55","BA",13,1060,39,10185417,38638.99,252.66,"72"
"20582","2018","9","55","BA",34,1060,39,10185417,38638.99,154.95,"17"
"33875","2018","9","55","CE",21,1687,22,6271554,42079.91,603.1,"17"
"35591","2018","9","55","CE",11,1687,22,6271554,42079.91,200,"42"
"40690","2018","9","55","DF",38,0,8,1897677,30416.8,2113.88,"8"
"44903","2018","9","55","ES",1,947,10,2653536,37052.05,1474.88,"29"
"53029","2018","9","55","GO",21,173,17,4331733,35135.2,9000,"26"
"55928","2018","9","55","MA",68,1524,18,4497336,41779.83,60,"8"
"58458","2018","9","55","MA",20,1524,18,4497336,41779.83,27000,"34"
"70249","2018","9","55","MG",68,624,53,15248681,35720.85,46983.56,"83"
"64899","2018","9","55","MG",36,624,53,15248681,35720.85,716.48,"22"
"80656","2018","9","55","MS",54,878,8,1818937,40170.98,929.49,"11"
"88115","2018","9","55","MT",21,873,8,2189703,39056.17,340,"35"
"89915","2018","9","55","PA",10,1592,17,5188450,41855.59,15714.7,"11"
"98907","2018","9","55","PB",68,1716,12,2835882,41660.7,1829.17,"30"
"114393","2018","9","55","PE",2,1657,25,6356307,41304.94,6042.82,"85"
"113126","2018","9","55","PE",25,1657,25,6356307,41304.94,-211.53,"67"
"119148","2018","9","55","PI",34,1313,10,2345694,40599.91,7695.79,"37"
"128080","2018","9","55","PR",9,1081,30,7865950,38500,358.94,"99"
"121001","2018","9","55","PR",54,1081,30,7865950,38500,182.37,"17"
"138339","2018","9","55","RJ",NA,933,46,12141145,35388.11,5487.9,"78"
"140054","2018","9","55","RJ",38,933,46,12141145,35388.11,11807.16,"97"
"147156","2018","9","55","RN",21,1775,8,2327451,42360.13,1243.8,"4"
"152770","2018","9","55","RO",65,1900,8,1127154,43300.63,4978.33,"2"
"158975","2018","9","55","RR",21,2496,8,299558,45240.67,2685.64,"18"
"163947","2018","9","55","RS",36,1619,31,8392033,40504.04,1212.6,"33"
"166594","2018","9","55","RS",9,1619,31,8392033,40504.04,87.8,"71"
"177676","2018","9","55","SC",65,1314,16,4859324,39505.92,5464.91,"24"
"183016","2018","9","55","SE",68,1292,8,1454165,39767.4,924.1,"32"
"197216","2018","9","55","SP",9,873,70,31998432,36671.67,5569.05,"96"
"196322","2018","9","55","SP",36,873,70,31998432,36671.67,263,"77"
"198197","2018","9","55","SP",38,873,70,31998432,36671.67,1231.2,"117"
"203644","2018","9","55","TO",21,620,8,996887,39131.75,500,"1"
"1291","2018","10","55","AC",68,2246,8,506724,44260.6,256.28,"19"
"8378","2018","10","55","AL",25,1485,9,1995727,40572.24,558.44,"35"
"9041","2018","10","55","AM",34,1932,8,2226891,43198.26,11000,"3"
"14286","2018","10","55","AP",34,1791,8,455514,43002.92,4500,"7"
"25384","2018","10","55","BA",34,1060,39,10185417,38638.99,5203.17,"107"
"23845","2018","10","55","BA",10,1060,39,10185417,38638.99,61982.84,"77"
"35707","2018","10","55","CE",20,1687,22,6271554,42079.91,3653.45,"54"
"32756","2018","10","55","CE",36,1687,22,6271554,42079.91,32000,"4"
"42059","2018","10","55","DF",68,0,8,1897677,30416.8,214.4,"33"
"44052","2018","10","55","ES",10,947,10,2653536,37052.05,7380,"25"
"54942","2018","10","55","GO",25,173,17,4331733,35135.2,10950.27,"58"
"58928","2018","10","55","MA",68,1524,18,4497336,41779.83,594.03,"55"
"59080","2018","10","55","MA",5,1524,18,4497336,41779.83,126.45,"58"
"70449","2018","10","55","MG",34,624,53,15248681,35720.85,41396.06,"108"
"69878","2018","10","55","MG",54,624,53,15248681,35720.85,64832.77,"96"
"79512","2018","10","55","MG",11,624,53,15248681,35720.85,13900,"148"
"83834","2018","10","55","MS",20,878,8,1818937,40170.98,101.8,"43"
"85066","2018","10","55","MT",68,873,8,2189703,39056.17,2692.15,"15"
"94520","2018","10","55","PA",38,1592,17,5188450,41855.59,1821.11,"43"
"95835","2018","10","55","PA",5,1592,17,5188450,41855.59,9349.14,"60"
"100658","2018","10","55","PB",20,1716,12,2835882,41660.7,17605.71,"76"
"98158","2018","10","55","PB",34,1716,12,2835882,41660.7,9500,"21"
"109088","2018","10","55","PE",54,1657,25,6356307,41304.94,8777.05,"8"
"112244","2018","10","55","PE",34,1657,25,6356307,41304.94,10920,"67"
"117043","2018","10","55","PI",34,1313,10,2345694,40599.91,10155.53,"16"
"123965","2018","10","55","PR",11,1081,30,7865950,38500,7012.42,"46"
"124717","2018","10","55","PR",11,1081,30,7865950,38500,6000,"67"
"137802","2018","10","55","RJ",65,933,46,12141145,35388.11,3253.06,"92"
"137683","2018","10","55","RJ",10,933,46,12141145,35388.11,493.56,"86"
"146724","2018","10","55","RN",65,1775,8,2327451,42360.13,4300,"3"
"152730","2018","10","55","RO",25,1900,8,1127154,43300.63,3074.55,"6"
"160009","2018","10","55","RR",21,2496,8,299558,45240.67,807.29,"31"
"167570","2018","10","55","RS",34,1619,31,8392033,40504.04,11944.85,"111"
"167024","2018","10","55","RS",34,1619,31,8392033,40504.04,30000,"102"
"177462","2018","10","55","SC",10,1314,16,4859324,39505.92,96.9,"29"
"181173","2018","10","55","SE",65,1292,8,1454165,39767.4,117.82,"12"
"194621","2018","10","55","SP",25,873,70,31998432,36671.67,5996.83,"62"
"200098","2018","10","55","SP",38,873,70,31998432,36671.67,2655.48,"167"
"193507","2018","10","55","SP",10,873,70,31998432,36671.67,3224.84,"36"
"204101","2018","10","55","TO",38,620,8,996887,39131.75,219.08,"13"
"2692","2018","11","55","AC",65,2246,8,506724,44260.6,4679.61,"23"
"7915","2018","11","55","AL",34,1485,9,1995727,40572.24,268.48,"26"
"11446","2018","11","55","AM",54,1932,8,2226891,43198.26,6076,"19"
"16119","2018","11","55","AP",38,1791,8,455514,43002.92,5992.03,"40"
"25747","2018","11","55","BA",65,1060,39,10185417,38638.99,347.73,"116"
"23447","2018","11","55","BA",34,1060,39,10185417,38638.99,5276.3,"68"
"33423","2018","11","55","CE",54,1687,22,6271554,42079.91,3773.88,"19"
"33044","2018","11","55","CE",21,1687,22,6271554,42079.91,6000,"14"
"41330","2018","11","55","DF",38,0,8,1897677,30416.8,6000,"19"
"44394","2018","11","55","ES",38,947,10,2653536,37052.05,3862.83,"30"
"51465","2018","11","55","GO",20,173,17,4331733,35135.2,1519.34,"2"
"52917","2018","11","55","GO",38,173,17,4331733,35135.2,6000,"37"
"56114","2018","11","55","MA",38,1524,18,4497336,41779.83,11500,"8"
"59181","2018","11","55","MA",25,1524,18,4497336,41779.83,308.67,"69"
"66587","2018","11","55","MG",21,624,53,15248681,35720.85,9140.13,"58"
"68391","2018","11","55","MG",20,624,53,15248681,35720.85,844.9,"68"
"78669","2018","11","55","MG",2,624,53,15248681,35720.85,1819.92,"147"
"80173","2018","11","55","MS",20,878,8,1818937,40170.98,10800,"4"
"84989","2018","11","55","MT",1,873,8,2189703,39056.17,6652.54,"18"
"95710","2018","11","55","PA",9,1592,17,5188450,41855.59,98240,"72"
"96904","2018","11","55","PA",65,1592,17,5188450,41855.59,465.89,"97"
"99039","2018","11","55","PB",68,1716,12,2835882,41660.7,3844.84,"47"
"100691","2018","11","55","PB",68,1716,12,2835882,41660.7,2000,"74"
"113479","2018","11","55","PE",15,1657,25,6356307,41304.94,15737.86,"101"
"112987","2018","11","55","PE",20,1657,25,6356307,41304.94,150.15,"90"
"119195","2018","11","55","PI",34,1313,10,2345694,40599.91,13414.42,"45"
"120543","2018","11","55","PR",65,1081,30,7865950,38500,2881.82,"8"
"124595","2018","11","55","PR",13,1081,30,7865950,38500,5597.49,"74"
"127011","2018","11","55","PR",68,1081,30,7865950,38500,20510,"125"
"136529","2018","11","55","RJ",68,933,46,12141145,35388.11,5000,"58"
"139805","2018","11","55","RJ",68,933,46,12141145,35388.11,105,"143"
"137780","2018","11","55","RJ",38,933,46,12141145,35388.11,2585.49,"87"
"147555","2018","11","55","RN",34,1775,8,2327451,42360.13,14094.3,"24"
"153971","2018","11","55","RO",36,1900,8,1127154,43300.63,555,"22"
"160571","2018","11","55","RR",54,2496,8,299558,45240.67,341.37,"40"
"165840","2018","11","55","RS",68,1619,31,8392033,40504.04,875.03,"76"
"162744","2018","11","55","RS",21,1619,31,8392033,40504.04,5728.76,"15"
"179308","2018","11","55","SC",36,1314,16,4859324,39505.92,247.86,"69"
"176756","2018","11","55","SC",68,1314,16,4859324,39505.92,662.45,"18"
"183028","2018","11","55","SE",34,1292,8,1454165,39767.4,5451.96,"46"
"195411","2018","11","55","SP",65,873,70,31998432,36671.67,25807.7,"79"
"197356","2018","11","55","SP",54,873,70,31998432,36671.67,62363.28,"123"
"195974","2018","11","55","SP",68,873,70,31998432,36671.67,25955.42,"86"
"203691","2018","11","55","TO",21,620,8,996887,39131.75,3365.36,"4"
"3197","2018","12","55","AC",68,2246,8,506724,44260.6,20967.06,"16"
"5451","2018","12","55","AL",54,1485,9,1995727,40572.24,419.77,"19"
"9029","2018","12","55","AM",9,1932,8,2226891,43198.26,801.15,"1"
"14744","2018","12","55","AP",9,1791,8,455514,43002.92,10000,"18"
"25823","2018","12","55","BA",13,1060,39,10185417,38638.99,1820.91,"122"
"20011","2018","12","55","BA",5,1060,39,10185417,38638.99,1815.61,"10"
"36927","2018","12","55","CE",36,1687,22,6271554,42079.91,41200,"79"
"32596","2018","12","55","CE",9,1687,22,6271554,42079.91,20000,"4"
"41858","2018","12","55","DF",38,0,8,1897677,30416.8,7000,"39"
"42956","2018","12","55","ES",38,947,10,2653536,37052.05,5059.62,"4"
"53404","2018","12","55","GO",21,173,17,4331733,35135.2,7500,"42"
"52284","2018","12","55","GO",54,173,17,4331733,35135.2,124,"17"
"58367","2018","12","55","MA",25,1524,18,4497336,41779.83,110.25,"47"
"60877","2018","12","55","MA",21,1524,18,4497336,41779.83,77.81,"88"
"78964","2018","12","55","MG",15,624,53,15248681,35720.85,3975.73,"140"
"70386","2018","12","55","MG",11,624,53,15248681,35720.85,103.94,"102"
"64418","2018","12","55","MG",21,624,53,15248681,35720.85,133.12,"24"
"80187","2018","12","55","MS",36,878,8,1818937,40170.98,18000,"6"
"87404","2018","12","55","MT",68,873,8,2189703,39056.17,5761.5,"21"
"90165","2018","12","55","PA",15,1592,17,5188450,41855.59,7899.71,"21"
"95594","2018","12","55","PA",65,1592,17,5188450,41855.59,580,"61"
"97127","2018","12","55","PB",11,1716,12,2835882,41660.7,40.35,"4"
"100116","2018","12","55","PB",34,1716,12,2835882,41660.7,43000,"71"
"110149","2018","12","55","PE",2,1657,25,6356307,41304.94,1185.86,"36"
"110472","2018","12","55","PE",21,1657,25,6356307,41304.94,12446.66,"49"
"119161","2018","12","55","PI",21,1313,10,2345694,40599.91,1712.25,"48"
"126331","2018","12","55","PR",8,1081,30,7865950,38500,8865,"106"
"124815","2018","12","55","PR",68,1081,30,7865950,38500,8851.8,"70"
"136625","2018","12","55","RJ",11,933,46,12141145,35388.11,36072.82,"71"
"136720","2018","12","55","RJ",20,933,46,12141145,35388.11,1500,"72"
"140146","2018","12","55","RJ",68,933,46,12141145,35388.11,6897.89,"143"
"150283","2018","12","55","RN",9,1775,8,2327451,42360.13,30000,"19"
"153385","2018","12","55","RO",21,1900,8,1127154,43300.63,640.87,"18"
"157367","2018","12","55","RR",65,2496,8,299558,45240.67,126.58,"16"
"162673","2018","12","55","RS",34,1619,31,8392033,40504.04,180.12,"17"
"162678","2018","12","55","RS",38,1619,31,8392033,40504.04,2299.68,"18"
"179408","2018","12","55","SC",34,1314,16,4859324,39505.92,232,"66"
"178117","2018","12","55","SC",68,1314,16,4859324,39505.92,10000,"38"
"182156","2018","12","55","SE",65,1292,8,1454165,39767.4,171,"32"
"188874","2018","12","55","SP",34,873,70,31998432,36671.67,21793.77,"23"
"189043","2018","12","55","SP",1,873,70,31998432,36671.67,3541.57,"27"
"198442","2018","12","55","SP",5,873,70,31998432,36671.67,2588.33,"130"
"205273","2018","12","55","TO",34,620,8,996887,39131.75,2056.14,"27"
"3623","2019","1","55","AC",65,2246,8,506724,44260.6,4644.17,"28"
"8523","2019","1","55","AL",54,1485,9,1995727,40572.24,381.49,"40"
"11503","2019","1","55","AM",21,1932,8,2226891,43198.26,1226.99,"15"
"15515","2019","1","55","AP",38,1791,8,455514,43002.92,336.4,"26"
"25932","2019","1","55","BA",9,1060,39,10185417,38638.99,974.11,"116"
"25178","2019","1","55","BA",54,1060,39,10185417,38638.99,8980,"108"
"33387","2019","1","55","CE",15,1687,22,6271554,42079.91,132.2,"16"
"37563","2019","1","55","CE",68,1687,22,6271554,42079.91,11125.82,"76"
"40079","2019","1","55","DF",54,0,8,1897677,30416.8,427.42,"3"
"44531","2019","1","55","ES",34,947,10,2653536,37052.05,4258.12,"37"
"53045","2019","1","55","GO",20,173,17,4331733,35135.2,6682.16,"28"
"57931","2019","1","55","MA",21,1524,18,4497336,41779.83,2214.77,"26"
"57346","2019","1","55","MA",65,1524,18,4497336,41779.83,125.46,"17"
"79610","2019","1","55","MG",20,624,53,15248681,35720.85,471.4,"143"
"69030","2019","1","55","MG",34,624,53,15248681,35720.85,13206.69,"62"
"84017","2019","1","55","MS",68,878,8,1818937,40170.98,15500,"39"
"88461","2019","1","55","MT",65,873,8,2189703,39056.17,305,"36"
"89007","2019","1","55","PA",25,1592,17,5188450,41855.59,557,"4"
"94707","2019","1","55","PA",5,1592,17,5188450,41855.59,1480,"37"
"98762","2019","1","55","PB",20,1716,12,2835882,41660.7,3917.92,"39"
"112168","2019","1","55","PE",11,1657,25,6356307,41304.94,142.47,"73"
"109506","2019","1","55","PE",15,1657,25,6356307,41304.94,467.25,"19"
"116995","2019","1","55","PI",34,1313,10,2345694,40599.91,6038.25,"18"
"120429","2019","1","55","PR",10,1081,30,7865950,38500,1347,"10"
"128071","2019","1","55","PR",34,1081,30,7865950,38500,18686.2,"121"
"137126","2019","1","55","RJ",34,933,46,12141145,35388.11,5027.4,"74"
"135696","2019","1","55","RJ",10,933,46,12141145,35388.11,163.25,"49"
"147543","2019","1","55","RN",21,1775,8,2327451,42360.13,576.21,"20"
"152864","2019","1","55","RO",34,1900,8,1127154,43300.63,589.9,"10"
"160505","2019","1","55","RR",65,2496,8,299558,45240.67,110.97,"42"
"162832","2019","1","55","RS",65,1619,31,8392033,40504.04,4819.65,"13"
"163905","2019","1","55","RS",65,1619,31,8392033,40504.04,150,"34"
"176519","2019","1","55","SC",65,1314,16,4859324,39505.92,21500,"8"
"181107","2019","1","55","SE",65,1292,8,1454165,39767.4,7466.22,"6"
"198287","2019","1","55","SP",13,873,70,31998432,36671.67,12604.49,"138"
"196341","2019","1","55","SP",21,873,70,31998432,36671.67,2229.07,"100"
"189185","2019","1","55","SP",5,873,70,31998432,36671.67,171,"27"
"204328","2019","1","55","TO",65,620,8,996887,39131.75,559.62,"11"
"2955","2019","2","56","AC",28,2246,8,547680,44260.6,81.4,"41"
"5487","2019","2","56","AL",54,1485,9,2187967,40572.24,2892.94,"1"
"10414","2019","2","56","AM",13,1932,8,2428098,43198.26,5373.2,"28"
"13206","2019","2","56","AP",38,1791,8,512110,43002.92,16594,"11"
"17883","2019","2","56","BA",33,1060,39,10393170,38638.99,492.96,"14"
"17455","2019","2","56","BA",8,1060,39,10393170,38638.99,347,"3"
"31715","2019","2","56","CE",52,1687,22,6344483,42079.91,88.6,"42"
"38898","2019","2","56","DF",38,0,8,2084356,30416.8,75.57,"3"
"46199","2019","2","56","ES",30,947,10,2754728,37052.05,13381.86,"19"
"49619","2019","2","56","GO",8,173,17,4454497,35135.2,197.49,"43"
"48028","2019","2","56","GO",13,173,17,4454497,35135.2,5059.3,"7"
"63685","2019","2","56","MA",33,1524,18,4537237,41779.83,8000,"84"
"56495","2019","2","56","MA",52,1524,18,4537237,41779.83,816.2,"16"
"71502","2019","2","56","MG",38,624,53,15700966,35720.85,26859.91,"47"
"66829","2019","2","56","MG",34,624,53,15700966,35720.85,6413.83,"2"
"68144","2019","2","56","MG",54,624,53,15700966,35720.85,6324.68,"29"
"79994","2019","2","56","MS",29,878,8,1877982,40170.98,8447.47,"4"
"85814","2019","2","56","MT",38,873,8,2330281,39056.17,9219.26,"14"
"91551","2019","2","56","PA",38,1592,17,5499283,41855.59,19395.72,"30"
"90783","2019","2","56","PA",34,1592,17,5499283,41855.59,24000,"17"
"101844","2019","2","56","PB",8,1716,12,2867649,41660.7,1458.9,"24"
"103619","2019","2","56","PE",17,1657,25,6570072,41304.94,497,"4"
"104907","2019","2","56","PE",30,1657,25,6570072,41304.94,415.04,"31"
"115481","2019","2","56","PI",30,1313,10,2370894,40599.91,26.57,"10"
"132845","2019","2","56","PR",8,1081,30,7971087,38500,1973.5,"125"
"128636","2019","2","56","PR",34,1081,30,7971087,38500,5084.6,"32"
"142371","2019","2","56","RJ",35,933,46,12408340,35388.11,2848.07,"52"
"141744","2019","2","56","RJ",10,933,46,12408340,35388.11,2629.44,"33"
"148011","2019","2","56","RN",54,1775,8,2373619,42360.13,5000.68,"8"
"155404","2019","2","56","RO",38,1900,8,1175733,43300.63,2888.22,"28"
"158164","2019","2","56","RR",29,2496,8,333464,45240.67,244.3,"38"
"172375","2019","2","56","RS",10,1619,31,8354732,40504.04,7604,"107"
"161710","2019","2","56","RS",30,1619,31,8354732,40504.04,8200,"18"
"175769","2019","2","56","SC",35,1314,16,5070212,39505.92,3709.01,"70"
"173033","2019","2","56","SC",34,1314,16,5070212,39505.92,648.77,"7"
"183326","2019","2","56","SE",33,1292,8,1577058,39767.4,24217.27,"3"
"187513","2019","2","56","SP",32,873,70,33040411,36671.67,28.4,"56"
"187192","2019","2","56","SP",8,873,70,33040411,36671.67,1121.34,"44"
"190706","2019","2","56","SP",29,873,70,33040411,36671.67,113965.45,"83"
"202882","2019","2","56","TO",54,620,8,1039439,39131.75,507.42,"36"
"2248","2019","3","56","AC",10,2246,8,547680,44260.6,181.62,"35"
"6902","2019","3","56","AL",35,1485,9,2187967,40572.24,654.5,"35"
"11178","2019","3","56","AM",13,1932,8,2428098,43198.26,17800,"44"
"13097","2019","3","56","AP",32,1791,8,512110,43002.92,29.2,"16"
"27278","2019","3","56","BA",17,1060,39,10393170,38638.99,142.07,"77"
"29037","2019","3","56","BA",34,1060,39,10393170,38638.99,20000,"122"
"30767","2019","3","56","CE",54,1687,22,6344483,42079.91,46005.07,"16"
"38906","2019","3","56","DF",33,0,8,2084356,30416.8,41.96,"3"
"46201","2019","3","56","ES",28,947,10,2754728,37052.05,4930.7,"23"
"49240","2019","3","56","GO",9,173,17,4454497,35135.2,30.67,"34"
"49779","2019","3","56","GO",33,173,17,4454497,35135.2,14190,"48"
"56667","2019","3","56","MA",10,1524,18,4537237,41779.83,2104.25,"19"
"61095","2019","3","56","MA",33,1524,18,4537237,41779.83,12360.14,"25"
"74501","2019","3","56","MG",4,624,53,15700966,35720.85,180.5,"120"
"74488","2019","3","56","MG",52,624,53,15700966,35720.85,1547.5,"119"
"67877","2019","3","56","MG",32,624,53,15700966,35720.85,620.05,"29"
"80044","2019","3","56","MS",38,878,8,1877982,40170.98,801.91,"9"
"85505","2019","3","56","MT",38,873,8,2330281,39056.17,4762.81,"11"
"92360","2019","3","56","PA",52,1592,17,5499283,41855.59,10000,"49"
"93229","2019","3","56","PA",32,1592,17,5499283,41855.59,9000,"75"
"101853","2019","3","56","PB",29,1716,12,2867649,41660.7,153.06,"19"
"105037","2019","3","56","PE",30,1657,25,6570072,41304.94,19082.85,"35"
"103938","2019","3","56","PE",34,1657,25,6570072,41304.94,371.8,"8"
"115719","2019","3","56","PI",38,1313,10,2370894,40599.91,25600,"13"
"130073","2019","3","56","PR",30,1081,30,7971087,38500,5000,"60"
"123539","2019","3","56","PR",32,1081,30,7971087,38500,9460,"24"
"144303","2019","3","56","RJ",32,933,46,12408340,35388.11,25.32,"86"
"142099","2019","3","56","RJ",33,933,46,12408340,35388.11,2347.18,"44"
"148084","2019","3","56","RN",54,1775,8,2373619,42360.13,11105,"9"
"155240","2019","3","56","RO",30,1900,8,1175733,43300.63,1593.49,"34"
"157872","2019","3","56","RR",13,2496,8,333464,45240.67,20236.89,"25"
"169680","2019","3","56","RS",33,1619,31,8354732,40504.04,19231.01,"59"
"161256","2019","3","56","RS",54,1619,31,8354732,40504.04,3292.01,"8"
"173483","2019","3","56","SC",33,1314,16,5070212,39505.92,6000,"15"
"175137","2019","3","56","SC",29,1314,16,5070212,39505.92,2050.26,"52"
"184705","2019","3","56","SE",38,1292,8,1577058,39767.4,1972.22,"32"
"185831","2019","3","56","SP",29,873,70,33040411,36671.67,303.96,"15"
"200323","2019","3","56","SP",8,873,70,33040411,36671.67,33.22,"140"
"200217","2019","3","56","SP",33,873,70,33040411,36671.67,13000,"138"
"201722","2019","3","56","TO",52,620,8,1039439,39131.75,3207.88,"12"
"553","2019","4","56","AC",10,2246,8,547680,44260.6,2513.52,"9"
"6307","2019","4","56","AL",38,1485,9,2187967,40572.24,101.89,"28"
"10065","2019","4","56","AM",52,1932,8,2428098,43198.26,26499.7,"14"
"13069","2019","4","56","AP",33,1791,8,512110,43002.92,21000,"10"
"18539","2019","4","56","BA",38,1060,39,10393170,38638.99,43575.2,"37"
"18476","2019","4","56","BA",34,1060,39,10393170,38638.99,532.85,"31"
"35062","2019","4","56","CE",28,1687,22,6344483,42079.91,3698.4,"71"
"34913","2019","4","56","CE",54,1687,22,6344483,42079.91,1258.04,"67"
"39035","2019","4","56","DF",54,0,8,2084356,30416.8,12265,"6"
"46987","2019","4","56","ES",28,947,10,2754728,37052.05,17000,"36"
"48884","2019","4","56","GO",54,173,17,4454497,35135.2,2617.63,"19"
"48900","2019","4","56","GO",9,173,17,4454497,35135.2,38.98,"21"
"61249","2019","4","56","MA",34,1524,18,4537237,41779.83,649.3,"36"
"56433","2019","4","56","MA",54,1524,18,4537237,41779.83,53.19,"16"
"74424","2019","4","56","MG",29,624,53,15700966,35720.85,20154.98,"112"
"77404","2019","4","56","MG",29,624,53,15700966,35720.85,3146.35,"180"
"72048","2019","4","56","MG",28,624,53,15700966,35720.85,9997.22,"62"
"79892","2019","4","56","MS",54,878,8,1877982,40170.98,10694.65,"4"
"85574","2019","4","56","MT",33,873,8,2330281,39056.17,14218.16,"11"
"91602","2019","4","56","PA",38,1592,17,5499283,41855.59,317.55,"35"
"91966","2019","4","56","PA",34,1592,17,5499283,41855.59,10198.73,"45"
"102896","2019","4","56","PB",54,1716,12,2867649,41660.7,6100,"55"
"107033","2019","4","56","PE",34,1657,25,6570072,41304.94,550.39,"82"
"107391","2019","4","56","PE",8,1657,25,6570072,41304.94,12700,"91"
"117688","2019","4","56","PI",35,1313,10,2370894,40599.91,19539.41,"21"
"128971","2019","4","56","PR",34,1081,30,7971087,38500,568.3,"36"
"128316","2019","4","56","PR",38,1081,30,7971087,38500,2186.92,"21"
"141095","2019","4","56","RJ",33,933,46,12408340,35388.11,46402.85,"11"
"142013","2019","4","56","RJ",32,933,46,12408340,35388.11,3083.19,"34"
"149003","2019","4","56","RN",54,1775,8,2373619,42360.13,15179.21,"29"
"155095","2019","4","56","RO",34,1900,8,1175733,43300.63,1067.68,"24"
"157730","2019","4","56","RR",35,2496,8,333464,45240.67,735.33,"29"
"170194","2019","4","56","RS",32,1619,31,8354732,40504.04,13665,"75"
