"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"34030","2015","5","55","CE",21,1687,22,6271554,42079.91,5249.98,"40"
"40518","2015","5","55","DF",54,0,8,1897677,30416.8,7250,"13"
"44332","2015","5","55","ES",38,947,10,2653536,37052.05,8273.47,"34"
"54218","2015","5","55","GO",1,173,17,4331733,35135.2,999.52,"66"
"54375","2015","5","55","GO",34,173,17,4331733,35135.2,4900,"73"
"57435","2015","5","55","MA",65,1524,18,4497336,41779.83,2089.72,"31"
"60115","2015","5","55","MA",25,1524,18,4497336,41779.83,10900,"91"
"79349","2015","5","55","MG",15,624,53,15248681,35720.85,4813.73,"157"
"79327","2015","5","55","MG",36,624,53,15248681,35720.85,39576.11,"156"
"70619","2015","5","55","MG",2,624,53,15248681,35720.85,12422.12,"108"
"80332","2015","5","55","MS",20,878,8,1818937,40170.98,4900,"7"
"88004","2015","5","55","MT",21,873,8,2189703,39056.17,1750,"45"
"88900","2015","5","55","PA",68,1592,17,5188450,41855.59,5688.46,"3"
"96435","2015","5","55","PA",36,1592,17,5188450,41855.59,3274.49,"92"
"99298","2015","5","55","PB",54,1716,12,2835882,41660.7,11500,"42"
"97691","2015","5","55","PB",68,1716,12,2835882,41660.7,2975.03,"12"
"112673","2015","5","55","PE",11,1657,25,6356307,41304.94,1989.23,"86"
"114052","2015","5","55","PE",65,1657,25,6356307,41304.94,5789.59,"116"
"116482","2015","5","55","PI",65,1313,10,2345694,40599.91,10000,"13"
"128043","2015","5","55","PR",36,1081,30,7865950,38500,6249.07,"152"
"127070","2015","5","55","PR",8,1081,30,7865950,38500,638.5,"129"
"126520","2015","5","55","PR",8,1081,30,7865950,38500,6447,"111"
"139377","2015","5","55","RJ",54,933,46,12141145,35388.11,11452.96,"142"
"135794","2015","5","55","RJ",54,933,46,12141145,35388.11,6089.13,"59"
"135924","2015","5","55","RJ",5,933,46,12141145,35388.11,6579.3,"62"
"150751","2015","5","55","RN",36,1775,8,2327451,42360.13,348.92,"42"
"152842","2015","5","55","RO",65,1900,8,1127154,43300.63,16800,"9"
"159606","2015","5","55","RR",65,2496,8,299558,45240.67,12189.45,"32"
"167586","2015","5","55","RS",68,1619,31,8392033,40504.04,32387.59,"118"
"167617","2015","5","55","RS",20,1619,31,8392033,40504.04,6439.75,"119"
"176977","2015","5","55","SC",36,1314,16,4859324,39505.92,16700,"25"
"178122","2015","5","55","SC",10,1314,16,4859324,39505.92,819.3,"48"
