"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4198","2020","CE","PSB",32,1687,22,6344483,42079.91,50000,"67"
"4599","2020","DF","PSB",32,0,8,2084356,30416.8,29200,"29"
"4840","2020","ES","PP",38,947,10,2754728,37052.05,90610.76,"4"
"6009","2020","GO","PSD",35,173,17,4454497,35135.2,798.5,"60"
"6505","2020","MA","PATRIOTA",9,1524,18,4537237,41779.83,165165,"32"
"7606","2020","MG","NOVO",8,624,53,15700966,35720.85,10665.23,"88"
"8920","2020","MS","PT",54,878,8,1877982,40170.98,71275,"36"
"9296","2020","MT","REPUBLICANOS",30,873,8,2330281,39056.17,1394.12,"30"
"9702","2020","PA","MDB",34,1592,17,5499283,41855.59,1858,"38"
"10709","2020","PB","UNIÃO",52,1716,12,2867649,41660.7,2668.69,"12"
"11204","2020","PE","SOLIDARIEDADE",13,1657,25,6570072,41304.94,17000,"15"
"12725","2020","PI","PSD",35,1313,10,2370894,40599.91,23175.64,"9"
"13594","2020","PR","REPUBLICANOS",30,1081,30,7971087,38500,89255.22,"107"
"15144","2020","RJ","PSB",32,933,46,12408340,35388.11,133690.54,"11"
"15866","2020","RN","PP",38,1775,8,2373619,42360.13,44023,"3"
"16671","2020","RO","MDB",34,1900,8,1175733,43300.63,17014.47,"51"
"16815","2020","RR","PSD",35,2496,8,333464,45240.67,55845.21,"31"
"17968","2020","RS","PSDB",29,1619,31,8354732,40504.04,7829.78,"121"
"18989","2020","SC","PL",33,1314,16,5070212,39505.92,22059.98,"48"
"19583","2020","SE","UNIÃO",52,1292,8,1577058,39767.4,17022.58,"14"
"21056","2020","SP","SOLIDARIEDADE",13,873,70,33040411,36671.67,89079.84,"121"
"21455","2020","TO","PL",33,620,8,1039439,39131.75,73101,"37"
"433","2021","AC","PDT",28,2246,8,547680,44260.6,185490,"49"
"659","2021","AL","PV",4,1485,9,2187967,40572.24,508.88,"33"
"1205","2021","AM","REPUBLICANOS",30,1932,8,2428098,43198.26,114173.02,"3"
"1891","2021","AP","PL",33,1791,8,512110,43002.92,2096.54,"28"
"2294","2021","BA","PP",38,1060,39,10393170,38638.99,46702.24,"52"
"4091","2021","CE","PSB",32,1687,22,6344483,42079.91,104784.33,"36"
"4304","2021","DF","PT",54,0,8,2084356,30416.8,5565.96,"10"
"5065","2021","ES","UNIÃO",52,947,10,2754728,37052.05,4651.65,"46"
"5961","2021","GO","PSB",32,173,17,4454497,35135.2,7095.07,"59"
"6397","2021","MA","PT",54,1524,18,4537237,41779.83,2609.58,"7"
"7626","2021","MG","PSDB",29,624,53,15700966,35720.85,2295.63,"84"
"8561","2021","MS","UNIÃO",52,878,8,1877982,40170.98,35336.9,"17"
"9283","2021","MT","PL",33,873,8,2330281,39056.17,10965.2,"23"
"9595","2021","PA","PSB",32,1592,17,5499283,41855.59,4054,"20"
"10937","2021","PB","PT",54,1716,12,2867649,41660.7,49200,"54"
