"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"2954","2019","55","5","BA","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1060,39,10185417,38638.99,1075.92,"1"
"3085","2019","55","5","BA","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1060,39,10185417,38638.99,8400,"2"
"3599","2019","55","5","BA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1060,39,10185417,38638.99,7628.02,"2"
"3169","2019","55","5","BA","PODEMOS","PASSAGEM AÉREA",9,1060,39,10185417,38638.99,3441.33,"1"
"3869","2019","56","1","BA","PODEMOS","SERVIÇOS POSTAIS",17,1060,39,10393170,38638.99,2021.71,"2"
"2532","2019","56","1","BA","PODEMOS","TELEFONIA",17,1060,39,10393170,38638.99,602.28,"1"
"3435","2019","56","1","BA","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1060,39,10393170,38638.99,133504.1,"1"
"3117","2019","55","5","BA","PP","DIVULGAÇÃO MANDATO",38,1060,39,10185417,38638.99,49715,"1"
"3175","2019","55","5","BA","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1060,39,10185417,38638.99,573.57,"1"
"3022","2019","55","5","BA","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,1060,39,10185417,38638.99,331,"2"
"2930","2019","55","5","BA","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1060,39,10185417,38638.99,14143.22,"2"
"2747","2019","56","1","BA","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1060,39,10393170,38638.99,66468.07,"1"
"2509","2019","56","1","BA","PP","PASSAGEM AÉREA",38,1060,39,10393170,38638.99,637930.86,"1"
"2980","2019","55","5","BA","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1060,39,10185417,38638.99,1152.69,"2"
"2905","2019","55","5","BA","PP","SERVIÇOS POSTAIS",38,1060,39,10185417,38638.99,2224.58,"1"
"4055","2019","56","1","BA","PP","TELEFONIA",38,1060,39,10393170,38638.99,45470.53,"2"
"2683","2019","56","1","BA","PSB","COMBUSTÍVEIS E LUBRIFICANTES",32,1060,39,10393170,38638.99,44681.62,"1"
"2562","2019","56","1","BA","PSB","DIVULGAÇÃO MANDATO",32,1060,39,10393170,38638.99,36200,"1"
"2866","2019","56","1","BA","PSB","LOCAÇÃO DE AUTOMÓVEIS",32,1060,39,10393170,38638.99,46325,"1"
"2604","2019","56","1","BA","PSB","PASSAGEM AÉREA",32,1060,39,10393170,38638.99,156249.98,"1"
"2811","2019","56","1","BA","PSB","SERVIÇOS POSTAIS",32,1060,39,10393170,38638.99,3412.47,"1"
"3691","2019","55","5","BA","PSB","TELEFONIA",34,1060,39,10185417,38638.99,1378.33,"2"
"4005","2019","56","1","BA","PSC","ASSESSORIA TÉCNICA/JURÍDICA",8,1060,39,10393170,38638.99,57000,"2"
"3823","2019","56","1","BA","PSC","DIVULGAÇÃO MANDATO",8,1060,39,10393170,38638.99,56150,"2"
"3928","2019","56","1","BA","PSC","PASSAGEM AÉREA",8,1060,39,10393170,38638.99,144242.36,"2"
"3809","2019","55","5","BA","PSC","TELEFONIA",13,1060,39,10185417,38638.99,54.88,"2"
"2948","2019","55","5","BA","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1060,39,10185417,38638.99,37500,"2"
"3763","2019","55","5","BA","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1060,39,10185417,38638.99,13927.36,"1"
"2646","2019","56","1","BA","PSD","DIVULGAÇÃO MANDATO",35,1060,39,10393170,38638.99,401168,"1"
"3090","2019","55","5","BA","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1060,39,10185417,38638.99,649.48,"1"
"2879","2019","56","1","BA","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",35,1060,39,10393170,38638.99,8393.6,"1"
"2636","2019","56","1","BA","PSD","LOCAÇÃO DE AUTOMÓVEIS",35,1060,39,10393170,38638.99,501998.35,"1"
"2809","2019","56","1","BA","PSD","MANUTENÇÃO DE ESCRITÓRIO",35,1060,39,10393170,38638.99,236854.82,"1"
"2835","2019","56","1","BA","PSD","PASSAGEM AÉREA",35,1060,39,10393170,38638.99,622364.1,"1"
"3113","2019","55","5","BA","PSD","SERVIÇOS POSTAIS",36,1060,39,10185417,38638.99,878.75,"1"
"3493","2019","56","1","BA","PSD","TELEFONIA",35,1060,39,10393170,38638.99,66581.14,"1"
"2466","2019","56","1","BA","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",29,1060,39,10393170,38638.99,14983.02,"1"
"3886","2019","56","1","BA","PSDB","DIVULGAÇÃO MANDATO",29,1060,39,10393170,38638.99,41500,"2"
"3214","2019","55","5","BA","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1060,39,10185417,38638.99,8980,"1"
"3173","2019","55","5","BA","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1060,39,10185417,38638.99,5704.94,"1"
"2971","2019","55","5","BA","PSDB","PASSAGEM AÉREA",54,1060,39,10185417,38638.99,27927.47,"2"
