"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"148159","2017","12","55","3","RS","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1619,31,8392033,40504.04,332,"1594"
"30376","2018","1","55","4","CE","PROS","ASSESSORIA TÉCNICA/JURÍDICA",11,1687,22,6271554,42079.91,5000,"336"
"38476","2018","1","55","4","ES","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,947,10,2653536,37052.05,1125.2,"443"
"33112","2018","1","55","4","CE","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1687,22,6271554,42079.91,4968.61,"374"
"3978","2018","2","55","4","AC","PCdoB","DIVULGAÇÃO MANDATO",10,2246,8,506724,44260.6,2000,"44"
"58019","2018","2","55","4","MG","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,624,53,15248681,35720.85,2805.06,"685"
"175564","2018","2","55","4","SP","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,873,70,31998432,36671.67,7126.48,"2000"
"160974","2018","3","55","4","SC","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1314,16,4859324,39505.92,955.5,"1972"
"38115","2018","3","55","4","ES","PDT","TELEFONIA",20,947,10,2653536,37052.05,1293.9,"472"
"88432","2018","3","55","4","PB","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,1716,12,2835882,41660.7,4500.11,"1120"
"79510","2018","4","55","4","PA","DEM","PASSAGEM AÉREA",21,1592,17,5188450,41855.59,12184,"933"
"114973","2018","4","55","4","PR","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1081,30,7865950,38500,180,"1432"
"138249","2018","4","55","4","RO","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1900,8,1127154,43300.63,9003.58,"1658"
"178092","2018","5","55","4","SP","PV","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",8,873,70,31998432,36671.67,229.61,"2079"
"112461","2018","5","55","4","PR","PSB","PASSAGEM AÉREA",34,1081,30,7865950,38500,16322.21,"1354"
"102010","2018","5","55","4","PE","PDT","TELEFONIA",20,1657,25,6356307,41304.94,512.92,"1193"
"178233","2018","6","55","4","SP","PT","LOCAÇÃO DE AUTOMÓVEIS",68,873,70,31998432,36671.67,29633.25,"2018"
"63293","2018","6","55","4","MG","PCdoB","PASSAGEM AÉREA",10,624,53,15248681,35720.85,21228.86,"758"
"7815","2018","6","55","4","AL","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,1485,9,1995727,40572.24,10000,"83"
"108913","2018","7","55","4","PR","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1081,30,7865950,38500,6000,"1138"
"109062","2018","7","55","4","PR","PTB","TELEFONIA",25,1081,30,7865950,38500,3607.92,"1140"
"174498","2018","8","55","4","SP","PV","MANUTENÇÃO DE ESCRITÓRIO",8,873,70,31998432,36671.67,8333.28,"1673"
"179117","2018","8","55","4","SP","PSL","TELEFONIA",1,873,70,31998432,36671.67,2457.16,"1756"
"19929","2018","9","55","4","BA","PSC","ASSESSORIA TÉCNICA/JURÍDICA",13,1060,39,10185417,38638.99,5000,"157"
"1087","2018","9","55","4","AC","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,2246,8,506724,44260.6,5667.3,"8"
"121610","2018","10","55","4","RJ","PP","SERVIÇOS POSTAIS",38,933,46,12141145,35388.11,681.33,"1279"
"8012","2018","10","55","4","AL","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1485,9,1995727,40572.24,12500,"78"
"3369","2018","11","55","4","AC","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",65,2246,8,506724,44260.6,266,"31"
"79075","2018","11","55","4","MT","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,873,8,2189703,39056.17,1408,"814"
"63198","2018","12","55","4","MG","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,624,53,15248681,35720.85,167.3,"686"
"113690","2018","12","55","4","PR","PTB","PASSAGEM AÉREA",25,1081,30,7865950,38500,21589.83,"1211"
"160091","2019","1","55","5","SC","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1314,16,4859324,39505.92,3251.55,"1502"
"53146","2019","1","55","5","MA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1524,18,4497336,41779.83,4822.6,"524"
"153545","2019","2","56","1","RS","PP","SERVIÇOS POSTAIS",38,1619,31,8354732,40504.04,629.26,"1468"
"129493","2019","2","56","1","RJ","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",30,933,46,12408340,35388.11,261,"1230"
"9877","2019","3","56","1","AM","PL","ASSESSORIA TÉCNICA/JURÍDICA",33,1932,8,2428098,43198.26,3000,"121"
"24494","2019","3","56","1","BA","PSB","PASSAGEM AÉREA",32,1060,39,10393170,38638.99,5987.83,"245"
"131192","2019","4","56","1","RJ","PCdoB","DIVULGAÇÃO MANDATO",10,933,46,12408340,35388.11,2174,"1366"
"27376","2019","4","56","1","CE","PT","ASSINATURA DE PUBLICAÇÕES",54,1687,22,6344483,42079.91,1798.16,"315"
"137279","2019","5","56","1","RO","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1900,8,1175733,43300.63,5155.72,"1469"
"139858","2019","5","56","1","RO","REPUBLICANOS","TELEFONIA",30,1900,8,1175733,43300.63,1525.54,"1478"
"93984","2019","6","56","1","PE","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1657,25,6570072,41304.94,7966.99,"1019"
"133864","2019","6","56","1","RN","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,1775,8,2373619,42360.13,3576.56,"1395"
"73490","2019","7","56","1","MS","UNIÃO","COMBUSTÍVEIS E LUBRIFICANTES",52,878,8,1877982,40170.98,888.91,"768"
"27043","2019","7","56","1","CE","PL","DIVULGAÇÃO MANDATO",33,1687,22,6344483,42079.91,25000,"290"
"111274","2019","8","56","1","PR","PROS","COMBUSTÍVEIS E LUBRIFICANTES",8,1081,30,7971087,38500,5828.58,"1148"
"34981","2019","8","56","1","DF","PL","LOCAÇÃO DE AUTOMÓVEIS",33,0,8,2084356,30416.8,7833.2,"366"
"173374","2019","9","56","1","SP","PL","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",33,873,70,33040411,36671.67,3271.5,"1890"
"105156","2019","9","56","1","PI","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",35,1313,10,2370894,40599.91,1173.3,"1117"
"26535","2019","10","56","1","BA","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",30,1060,39,10393170,38638.99,474.48,"276"
"180905","2019","10","56","1","TO","PSC","COMBUSTÍVEIS E LUBRIFICANTES",8,620,8,1039439,39131.75,3203.54,"1881"
"6574","2019","11","56","1","AL","PSD","DIVULGAÇÃO MANDATO",35,1485,9,2187967,40572.24,10950,"79"
"152188","2019","11","56","1","RS","MDB","MANUTENÇÃO DE ESCRITÓRIO",34,1619,31,8354732,40504.04,31161.22,"1518"
"167550","2019","12","56","1","SP","PSB","LOCAÇÃO DE AUTOMÓVEIS",32,873,70,33040411,36671.67,4854.57,"1582"
"167950","2019","12","56","1","SP","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",29,873,70,33040411,36671.67,15000,"1596"
"130049","2020","1","56","2","RJ","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,933,46,12408340,35388.11,1500,"1200"
"134345","2020","1","56","2","RN","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1775,8,2373619,42360.13,5008.97,"1253"
"83742","2020","2","56","2","PA","PTB","ASSESSORIA TÉCNICA/JURÍDICA",10,1592,17,5499283,41855.59,25000,"906"
"54913","2020","2","56","2","MA","MDB","MANUTENÇÃO DE ESCRITÓRIO",34,1524,18,4537237,41779.83,2955.3,"528"
"167599","2020","3","56","2","SP","PSB","DIVULGAÇÃO MANDATO",32,873,70,33040411,36671.67,349.99,"1691"
"171815","2020","3","56","2","SP","MDB","SERVIÇOS POSTAIS",34,873,70,33040411,36671.67,1040.65,"1754"
"65247","2020","4","56","2","MG","PV","COMBUSTÍVEIS E LUBRIFICANTES",4,624,53,15700966,35720.85,236.21,"462"
"181520","2020","4","56","2","TO","UNIÃO","TELEFONIA",52,620,8,1039439,39131.75,2991.94,"1357"
"26665","2020","5","56","2","CE","PT","TELEFONIA",54,1687,22,6344483,42079.91,3181.44,"213"
"44373","2020","5","56","2","GO","PL","MANUTENÇÃO DE ESCRITÓRIO",33,173,17,4454497,35135.2,26533.25,"352"
"34372","2020","6","56","2","CE","PDT","LOCAÇÃO DE AUTOMÓVEIS",28,1687,22,6344483,42079.91,16462.82,"261"
"155314","2020","6","56","2","RS","PDT","MANUTENÇÃO DE ESCRITÓRIO",28,1619,31,8354732,40504.04,7893.35,"1223"
"167936","2020","7","56","2","SP","PSDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",29,873,70,33040411,36671.67,360.3,"1414"
"42067","2020","7","56","2","ES","PDT","PASSAGEM AÉREA",28,947,10,2754728,37052.05,3128.99,"325"
"28640","2020","8","56","2","CE","PL","DIVULGAÇÃO MANDATO",33,1687,22,6344483,42079.91,22000,"273"
"154231","2020","8","56","2","RS","PL","PASSAGEM AÉREA",33,1619,31,8354732,40504.04,9195.81,"1301"
"2245","2020","9","56","2","AC","MDB","PASSAGEM AÉREA",34,2246,8,547680,44260.6,4193.74,"28"
"154006","2020","9","56","2","RS","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",32,1619,31,8354732,40504.04,189.5,"1292"
"169013","2020","10","56","2","SP","MDB","PASSAGEM AÉREA",34,873,70,33040411,36671.67,4534.56,"1479"
"151603","2020","10","56","2","RS","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1619,31,8354732,40504.04,2204.4,"1260"
"117784","2020","11","56","2","PR","PSB","COMBUSTÍVEIS E LUBRIFICANTES",32,1081,30,7971087,38500,2556.61,"983"
"156751","2020","11","56","2","SC","MDB","ASSINATURA DE PUBLICAÇÕES",34,1314,16,5070212,39505.92,620,"1346"
"128604","2020","12","56","2","RJ","PDT","SERVIÇOS POSTAIS",28,933,46,12408340,35388.11,80.97,"1034"
"12307","2020","12","56","2","AP","PL","DIVULGAÇÃO MANDATO",33,1791,8,512110,43002.92,9000,"113"
"139835","2021","1","56","3","RO","PSB","DIVULGAÇÃO MANDATO",32,1900,8,1175733,43300.63,3780,"1190"
"1829","2021","1","56","3","AC","PT","COMBUSTÍVEIS E LUBRIFICANTES",54,2246,8,547680,44260.6,5627.34,"19"
"55231","2021","2","56","3","MA","MDB","TELEFONIA",34,1524,18,4537237,41779.83,1335.38,"469"
"56713","2021","2","56","3","MA","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1524,18,4537237,41779.83,10549.73,"498"
"93807","2021","3","56","3","PE","REPUBLICANOS","ASSESSORIA TÉCNICA/JURÍDICA",30,1657,25,6570072,41304.94,20500,"823"
"41613","2021","3","56","3","ES","PTB","DIVULGAÇÃO MANDATO",10,947,10,2754728,37052.05,6150,"338"
"141516","2021","4","56","3","RR","PL","LOCAÇÃO DE AUTOMÓVEIS",33,2496,8,333464,45240.67,12300,"1246"
"172835","2021","4","56","3","SP","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,873,70,33040411,36671.67,293.56,"1565"
"118115","2021","5","56","3","PR","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1081,30,7971087,38500,811.06,"1056"
"5506","2021","5","56","3","AL","PT","COMBUSTÍVEIS E LUBRIFICANTES",54,1485,9,2187967,40572.24,244.13,"47"
"11462","2021","6","56","3","AP","PP","SERVIÇOS POSTAIS",38,1791,8,512110,43002.92,479.36,"116"
"35484","2021","6","56","3","DF","PL","TELEFONIA",33,0,8,2084356,30416.8,379.03,"337"
"136400","2021","7","56","3","RO","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",30,1900,8,1175733,43300.63,1049.86,"1258"
"157263","2021","7","56","3","SC","PT","PASSAGEM AÉREA",54,1314,16,5070212,39505.92,1440.54,"1488"
"127704","2021","8","56","3","RJ","PT","SERVIÇOS POSTAIS",54,933,46,12408340,35388.11,80.34,"1138"
"41734","2021","8","56","3","ES","PP","MANUTENÇÃO DE ESCRITÓRIO",38,947,10,2754728,37052.05,27489.92,"352"
"41865","2021","9","56","3","ES","PSC","COMBUSTÍVEIS E LUBRIFICANTES",8,947,10,2754728,37052.05,550,"381"
"167460","2021","9","56","3","SP","NOVO","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",8,873,70,33040411,36671.67,896.24,"1602"
"90915","2021","10","56","3","PB","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",29,1716,12,2867649,41660.7,3481.87,"822"
"134152","2021","10","56","3","RN","PL","MANUTENÇÃO DE ESCRITÓRIO",33,1775,8,2373619,42360.13,11815,"1266"
"173969","2021","11","56","3","SP","NOVO","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",8,873,70,33040411,36671.67,2430.51,"1642"
"93981","2021","11","56","3","PE","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1657,25,6570072,41304.94,5500,"880"
"154953","2021","12","56","3","RS","PSD","PASSAGEM AÉREA",35,1619,31,8354732,40504.04,3904.18,"1303"
"182588","2021","12","56","3","TO","UNIÃO","LOCAÇÃO DE AUTOMÓVEIS",52,620,8,1039439,39131.75,19500,"1576"
