"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"7717","2016","1","55","2","AL","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1485,9,1995727,40572.24,3430.79,25,"76"
"116000","2016","1","55","2","PI","PSB","SERVIÇOS POSTAIS",34,1313,10,2345694,40599.91,339.28,5,"1234"
"42851","2016","1","55","2","ES","PDT","PASSAGEM AÉREA",20,947,10,2653536,37052.05,326.4,2,"474"
"159499","2016","1","55","2","RR","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,2496,8,299558,45240.67,4000,1,"1706"
"52511","2016","1","55","2","GO","MDB","TELEFONIA",65,173,17,4331733,35135.2,6809.79,17,"556"
"57791","2016","1","55","2","MA","REPUBLICANOS","PASSAGEM AÉREA",21,1524,18,4497336,41779.83,2788.01,4,"629"
"20165","2016","1","55","2","BA","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1060,39,10185417,38638.99,10400,2,"200"
"58329","2016","2","55","2","MA","MDB","SERVIÇOS POSTAIS",65,1524,18,4497336,41779.83,347.73,6,"723"
"93865","2016","2","55","2","PA","MDB","PASSAGEM AÉREA",65,1592,17,5188450,41855.59,29178.89,50,"1079"
"125028","2016","2","55","2","PR","PV","TELEFONIA",8,1081,30,7865950,38500,2167.67,13,"1516"
"133832","2016","2","55","2","RJ","PT","DIVULGAÇÃO MANDATO",68,933,46,12141145,35388.11,15023,2,"1604"
"111606","2016","2","55","2","PE","PATRIOTA","PASSAGEM AÉREA",5,1657,25,6356307,41304.94,3244.28,13,"1293"
"11685","2016","2","55","2","AM","PL","TELEFONIA",34,1932,8,2226891,43198.26,571.07,7,"129"
"126603","2016","2","55","2","PR","PV","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",8,1081,30,7865950,38500,268.52,6,"1550"
"55204","2016","2","55","2","GO","SOLIDARIEDADE","COMBUSTÍVEIS E LUBRIFICANTES",15,173,17,4331733,35135.2,5000,1,"668"
"53805","2016","2","55","2","GO","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,173,17,4331733,35135.2,4579.21,2,"637"
"14888","2016","3","55","2","AP","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1791,8,455514,43002.92,138,4,"182"
"167684","2016","3","55","2","RS","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1619,31,8392033,40504.04,7100.67,10,"2144"
"127169","2016","3","55","2","PR","PROS","TELEFONIA",11,1081,30,7865950,38500,1395.78,7,"1658"
"22475","2016","3","55","2","BA","PP","DIVULGAÇÃO MANDATO",38,1060,39,10185417,38638.99,33165,5,"272"
"120021","2016","3","55","2","PR","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1081,30,7865950,38500,8150,1,"1521"
"196717","2016","3","55","2","SP","PL","DIVULGAÇÃO MANDATO",34,873,70,31998432,36671.67,21167.4,9,"2419"
"69385","2016","3","55","2","MG","PDT","PASSAGEM AÉREA",20,624,53,15248681,35720.85,40763.3,81,"909"
"137004","2016","3","55","2","RJ","PSD","TELEFONIA",36,933,46,12141145,35388.11,11270.31,50,"1767"
"35356","2016","3","55","2","CE","PSDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",54,1687,22,6271554,42079.91,697,1,"432"
"15970","2016","4","55","2","AP","PL","TELEFONIA",34,1791,8,455514,43002.92,203.06,9,"199"
"58144","2016","4","55","2","MA","PCdoB","TELEFONIA",10,1524,18,4497336,41779.83,1945.89,6,"748"
"65599","2016","4","55","2","MG","PSL","LOCAÇÃO DE AUTOMÓVEIS",1,624,53,15248681,35720.85,10900,2,"870"
"159085","2016","4","55","2","RR","REPUBLICANOS","PASSAGEM AÉREA",21,2496,8,299558,45240.67,3383.53,7,"1970"
"136995","2016","4","55","2","RJ","PSB","ASSINATURA DE PUBLICAÇÕES",34,933,46,12141145,35388.11,299.4,1,"1760"
"52658","2016","4","55","2","GO","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,173,17,4331733,35135.2,2500,1,"646"
"77890","2016","4","55","2","MG","PCdoB","SERVIÇOS POSTAIS",10,624,53,15248681,35720.85,1832.96,16,"961"
"109335","2016","4","55","2","PE","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1657,25,6356307,41304.94,877.64,10,"1307"
"1154","2016","4","55","2","AC","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,2246,8,506724,44260.6,5253.45,12,"16"
"150925","2016","5","55","2","RN","PODEMOS","ASSESSORIA TÉCNICA/JURÍDICA",9,1775,8,2327451,42360.13,33800,3,"1879"
"151209","2016","5","55","2","RN","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1775,8,2327451,42360.13,360,1,"1885"
"110994","2016","5","55","2","PE","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1657,25,6356307,41304.94,578.95,4,"1333"
"41144","2016","5","55","2","DF","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,0,8,1897677,30416.8,836.21,6,"527"
"127409","2016","5","55","2","PR","PROS","SERVIÇOS POSTAIS",11,1081,30,7865950,38500,114.57,2,"1631"
