"","ano","distancia","eleitores","valor","orig.id"
"1183","2015",1485,1995727,166920,"138"
"17361","2015",1081,7865950,722.6,"2059"
"4291","2015",1687,6271554,63985.86,"510"
"16007","2015",1081,7865950,36000,"1928"
"24874","2015",873,31998432,184448.6,"3055"
"21198","2015",1619,8392033,4956.02,"2562"
"6304","2015",947,2653536,94540,"771"
"24394","2015",873,31998432,244.27,"2938"
"3210","2015",1060,10185417,5254.44,"351"
"3520","2015",1060,10185417,500.8,"399"
"14569","2015",1657,6356307,66500,"1716"
"87","2015",2246,506724,5203.08,"20"
"20363","2015",1900,1127154,95045,"2446"
"13762","2015",1716,2835882,47240,"1645"
"20321","2015",1900,1127154,1592.92,"2435"
"26699","2015",620,996887,783.23,"3177"
"6729","2015",173,4331733,49879.5,"800"
"7550","2015",1524,4497336,2526.56,"935"
"20387","2015",1900,1127154,47300,"2454"
"4296","2015",1687,6271554,99500,"512"
"14386","2015",1657,6356307,90900,"1678"
"22388","2015",1619,8392033,10201.28,"2666"
"4348","2015",1687,6271554,165045.78,"527"
"22960","2015",1314,4859324,2377.62,"2775"
"3089","2015",1060,10185417,70350.75,"318"
"5599","2015",0,1897677,52.83,"699"
"22965","2015",1314,4859324,850,"2776"
"4176","2015",1687,6271554,55495,"484"
"8404","2015",1524,4497336,62862.45,"1006"
"13126","2015",1716,2835882,102200,"1582"
"13734","2015",1716,2835882,2001.65,"1636"
"20210","2015",1900,1127154,98165.35,"2410"
"10239","2015",624,15248681,3669.73,"1167"
"11800","2015",873,2189703,699.28,"1397"
"3382","2015",1060,10185417,365544.11,"386"
"23728","2015",1292,1454165,41157.63,"2839"
"3661","2015",1060,10185417,193874.89,"426"
"3750","2015",1060,10185417,132478.76,"449"
"4315","2015",1687,6271554,845.45,"518"
"14937","2015",1657,6356307,10425.55,"1793"
"7177","2015",173,4331733,32175.77,"905"
"5535","2015",0,1897677,263,"676"
"3161","2015",1060,10185417,14434.01,"335"
"19381","2015",1775,2327451,870,"2341"
"22940","2015",1314,4859324,1242.82,"2768"
"3384","2015",1060,10185417,447.1,"387"
"2015","2015",1791,455514,106419.72,"254"
"3636","2015",1060,10185417,85000,"420"
"13009","2015",1716,2835882,649.44,"1559"
"14812","2015",1657,6356307,112473.45,"1764"
"22970","2015",1314,4859324,91307.41,"2780"
"17083","2015",1081,7865950,70166.8,"1991"
"24848","2015",873,31998432,22708.95,"3050"
"20869","2015",2496,299558,5943.87,"2486"
"17700","2015",933,12141145,61177.99,"2140"
"23684","2015",1292,1454165,5124.04,"2831"
"1802","2015",1932,2226891,16158.59,"201"
"21161","2015",1619,8392033,89122.24,"2557"
"1947","2015",1791,455514,159539,"229"
"307","2015",2246,506724,172964.6,"43"
"20842","2015",2496,299558,101150.28,"2479"
"4485","2015",1687,6271554,182950,"554"
"26606","2015",620,996887,22548.01,"3150"
"17879","2015",933,12141145,364744.7,"2170"
"5843","2015",947,2653536,152091.53,"732"
"180","2015",2246,506724,26441.92,"40"
"1964","2015",1791,455514,3143.94,"235"
"3568","2015",1060,10185417,4500,"407"
"10904","2015",878,1818937,183,"1285"
"12444","2015",1592,5188450,17686.22,"1439"
"24890","2015",873,31998432,307078.34,"3059"
"1918","2015",1791,455514,17015.94,"226"
"17869","2015",933,12141145,481,"2169"
"22491","2015",1619,8392033,3940.82,"2684"
"14674","2015",1657,6356307,228112.34,"1741"
"1810","2015",1932,2226891,64584.5,"204"
"23083","2015",1314,4859324,114437.48,"2808"
"1336","2015",1932,2226891,32800,"160"
"20422","2015",1900,1127154,18298.42,"2462"
"18237","2015",933,12141145,216610.02,"2253"
"5427","2015",0,1897677,86200,"655"
"19448","2015",1775,2327451,28360.45,"2355"
"10202","2015",624,15248681,1119.6,"1159"
"20875","2015",2496,299558,43959.01,"2487"
"10332","2015",624,15248681,86071.3,"1178"
"17829","2015",933,12141145,41373.43,"2165"
"3122","2015",1060,10185417,522057.03,"324"
"8646","2015",624,15248681,6966.34,"1059"
"10482","2015",624,15248681,8077.01,"1226"
"12623","2015",1592,5188450,6090.57,"1483"
"8506","2015",1524,4497336,169080,"1030"
"14553","2015",1657,6356307,144603.9,"1712"
"10549","2015",624,15248681,17167.7,"1240"
"14417","2015",1657,6356307,111500,"1684"
"19458","2015",1775,2327451,83656.06,"2360"
"879","2015",1485,1995727,41171.41,"72"
"19857","2015",1775,2327451,80000,"2388"
"14947","2015",1657,6356307,5460.04,"1795"
"21173","2015",1619,8392033,572098.67,"2559"
"18103","2015",933,12141145,306826.99,"2228"
"18429","2015",933,12141145,24067.02,"2303"
"2135","2015",1791,455514,8801.28,"278"
"17783","2015",933,12141145,5141.13,"2159"
"1208","2015",1485,1995727,3894.03,"141"
"20412","2015",1900,1127154,98200,"2461"
"23094","2015",1314,4859324,123464.31,"2814"
"1987","2015",1791,455514,56608.94,"243"
"19455","2015",1775,2327451,132270.15,"2358"
"22816","2015",1314,4859324,32069.01,"2743"
"3336","2015",1060,10185417,64710,"379"
"5833","2015",947,2653536,192790,"729"
"12970","2015",1716,2835882,499.4,"1549"
"18315","2015",933,12141145,20140.72,"2274"
"12866","2015",1592,5188450,36165.48,"1535"
"17237","2015",1081,7865950,165500,"2026"
"18459","2015",933,12141145,116225,"2307"
"4392","2015",1687,6271554,89221.8,"531"
"16012","2015",1081,7865950,3071.01,"1929"
"23923","2015",1292,1454165,2872.46,"2880"
"11359","2015",873,2189703,69675.5,"1342"
"6416","2015",947,2653536,10692.83,"789"
"2061","2015",1791,455514,6352.07,"264"
"20179","2015",1900,1127154,30544.3,"2405"
"5550","2015",0,1897677,3139,"683"
"11430","2015",873,2189703,10062.4,"1357"
"17626","2015",933,12141145,476280.58,"2124"
"23084","2015",1314,4859324,105530.21,"2809"
"22218","2015",1619,8392033,2430.6,"2630"
"15517","2015",1313,2345694,17896.55,"1873"
"24594","2015",873,31998432,8646.78,"2989"
"17480","2015",1081,7865950,1453,"2090"
"21065","2015",2496,299558,19500,"2540"
"14881","2015",1657,6356307,65255.19,"1786"
