"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"46509","2015","2","55","1","GO","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,173,17,4331733,35135.2,12780,"510"
"18987","2015","2","55","1","BA","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1060,39,10185417,38638.99,798,"200"
"88178","2015","2","55","1","PB","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1716,12,2835882,41660.7,577.7,"1013"
"2993","2015","2","55","1","AC","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,2246,8,506724,44260.6,1982.68,"26"
"45900","2015","2","55","1","GO","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,173,17,4331733,35135.2,1239.77,"494"
"147436","2015","2","55","1","RS","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1619,31,8392033,40504.04,17098.12,"1678"
"88493","2015","2","55","1","PB","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1716,12,2835882,41660.7,9500,"1025"
"88448","2015","2","55","1","PB","PT","PASSAGEM AÉREA",68,1716,12,2835882,41660.7,9463.03,"1024"
"111984","2015","2","55","1","PR","PV","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",8,1081,30,7865950,38500,106.6,"1293"
"54266","2015","2","55","1","MA","PDT","TELEFONIA",20,1524,18,4497336,41779.83,5990.33,"649"
"57866","2015","2","55","1","MG","PROS","MANUTENÇÃO DE ESCRITÓRIO",11,624,53,15248681,35720.85,5955.51,"664"
"164062","2015","2","55","1","SE","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,1292,8,1454165,39767.4,8068.2,"1842"
"108565","2015","2","55","1","PR","PP","SERVIÇOS POSTAIS",38,1081,30,7865950,38500,3564.73,"1240"
"143475","2015","2","55","1","RR","PL","PASSAGEM AÉREA",34,2496,8,299558,45240.67,23367.68,"1615"
"104361","2015","2","55","1","PI","PTB","SERVIÇOS POSTAIS",25,1313,10,2345694,40599.91,517.61,"1190"
"144693","2015","2","55","1","RR","PP","PASSAGEM AÉREA",38,2496,8,299558,45240.67,4991.42,"1642"
"104360","2015","2","55","1","PI","PP","SERVIÇOS POSTAIS",38,1313,10,2345694,40599.91,1004.37,"1189"
"69386","2015","2","55","1","MG","SOLIDARIEDADE","TELEFONIA",15,624,53,15248681,35720.85,2024.94,"774"
"138862","2015","2","55","1","RO","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1900,8,1127154,43300.63,1254.1,"1586"
"161140","2015","2","55","1","SC","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1314,16,4859324,39505.92,251.42,"1807"
"138632","2015","2","55","1","RO","PTB","PASSAGEM AÉREA",25,1900,8,1127154,43300.63,9096.44,"1583"
"31628","2015","2","55","1","CE","AVANTE","TELEFONIA",2,1687,22,6271554,42079.91,443.66,"346"
"102735","2015","2","55","1","PE","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1657,25,6356307,41304.94,3200,"1163"
"111714","2015","2","55","1","PR","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,1081,30,7865950,38500,6089.35,"1291"
"147737","2015","2","55","1","RS","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1619,31,8392033,40504.04,2456.86,"1682"
"88672","2015","2","55","1","PB","PSB","TELEFONIA",34,1716,12,2835882,41660.7,676.91,"1028"
"32512","2015","2","55","1","CE","PP","TELEFONIA",38,1687,22,6271554,42079.91,195.94,"369"
"177973","2015","2","55","1","SP","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,873,70,31998432,36671.67,16214.5,"1978"
"107782","2015","2","55","1","PI","PSB","SERVIÇOS POSTAIS",34,1313,10,2345694,40599.91,151.86,"1229"
"87815","2015","2","55","1","PB","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1716,12,2835882,41660.7,6000,"1003"
"72442","2015","2","55","1","MS","PSB","PASSAGEM AÉREA",34,878,8,1818937,40170.98,1344.68,"820"
"3180","2015","2","55","1","AC","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,2246,8,506724,44260.6,949.78,"30"
"176595","2015","2","55","1","SP","PSC","TELEFONIA",13,873,70,31998432,36671.67,607.24,"1957"
