"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"43517",136762,"2015","2","55","1","ES","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,947,10,2653536,37052.05,2003.09,4,"4"
"45749",192278,"2015","2","55","1","ES","PCdoB","PASSAGEM AÉREA",10,947,10,2653536,37052.05,16963.04,21,"6"
"45252",135681,"2015","2","55","1","ES","PDT","SERVIÇOS POSTAIS",20,947,10,2653536,37052.05,693.29,3,"5"
"43879",78901,"2015","2","55","1","ES","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,947,10,2653536,37052.05,1116.64,11,"2"
"43418",31974,"2015","2","55","1","ES","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,947,10,2653536,37052.05,7759.22,6,"1"
"45345",151504,"2015","2","55","1","ES","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,947,10,2653536,37052.05,4652.49,4,"6"
"43532",128872,"2015","2","55","1","ES","PSL","MANUTENÇÃO DE ESCRITÓRIO",1,947,10,2653536,37052.05,1875.47,4,"1"
"43040",10203,"2015","2","55","1","ES","PT","PASSAGEM AÉREA",68,947,10,2653536,37052.05,4761.75,4,"1"
"43980",27208,"2015","2","55","1","ES","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,947,10,2653536,37052.05,853.11,3,"3"
"52145",145386,"2015","2","55","1","GO","CIDADANIA","COMBUSTÍVEIS E LUBRIFICANTES",10,173,17,4331733,35135.2,1355.82,10,"4"
"51663",121018,"2015","2","55","1","GO","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,173,17,4331733,35135.2,593.33,1,"1"
"52031",111446,"2015","2","55","1","GO","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,173,17,4331733,35135.2,12050,1,"1"
"54537",96048,"2015","2","55","1","GO","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,173,17,4331733,35135.2,382,17,"9"
"53273",28799,"2015","2","55","1","GO","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,173,17,4331733,35135.2,10000,1,"9"
"54801",184005,"2015","2","55","1","GO","PSD","TELEFONIA",36,173,17,4331733,35135.2,259.71,2,"2"
"51404",96388,"2015","2","55","1","GO","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,173,17,4331733,35135.2,1239.77,11,"2"
"51578",111210,"2015","2","55","1","GO","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,173,17,4331733,35135.2,4304,1,"1"
"52302",136516,"2015","2","55","1","GO","PTB","MANUTENÇÃO DE ESCRITÓRIO",25,173,17,4331733,35135.2,9345,1,"3"
"54251",10976,"2015","2","55","1","GO","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,173,17,4331733,35135.2,4500,5,"3"
"54068",150240,"2015","2","55","1","GO","SOLIDARIEDADE","LOCAÇÃO OU FRETAMENTO DE AERONAVES",15,173,17,4331733,35135.2,4533.34,1,"3"
"55862",76098,"2015","2","55","1","MA","CIDADANIA","ASSESSORIA TÉCNICA/JURÍDICA",10,1524,18,4497336,41779.83,17500,2,"1"
"57066",144536,"2015","2","55","1","MA","DEM","TELEFONIA",21,1524,18,4497336,41779.83,1458.5,7,"4"
"60329",61632,"2015","2","55","1","MA","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1524,18,4497336,41779.83,6682.5,3,"9"
"59687",76726,"2015","2","55","1","MA","PATRIOTA","DIVULGAÇÃO MANDATO",5,1524,18,4497336,41779.83,1500,1,"5"
"59599",151143,"2015","2","55","1","MA","PCdoB","TELEFONIA",10,1524,18,4497336,41779.83,617.63,4,"5"
"59327",187890,"2015","2","55","1","MA","PDT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",20,1524,18,4497336,41779.83,488.14,7,"5"
"57322",165162,"2015","2","55","1","MA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1524,18,4497336,41779.83,3770.14,5,"3"
