"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"94907",96065,"2015","3","55","1","PA","MDB","DIVULGAÇÃO MANDATO",65,1592,17,5188450,41855.59,9972,2,"54"
"99647",77280,"2015","3","55","1","PB","PDT","TELEFONIA",20,1716,12,2835882,41660.7,2366.39,10,"54"
"97743",200410,"2015","3","55","1","PB","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1716,12,2835882,41660.7,350,1,"21"
"114944",119736,"2015","3","55","1","PE","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1657,25,6356307,41304.94,6073.61,13,"136"
"112330",9312,"2015","3","55","1","PE","AVANTE","COMBUSTÍVEIS E LUBRIFICANTES",2,1657,25,6356307,41304.94,8898,2,"84"
"117379",95648,"2015","3","55","1","PI","PP","DIVULGAÇÃO MANDATO",38,1313,10,2345694,40599.91,4000,1,"27"
"120877",82518,"2015","3","55","1","PR","PP","PASSAGEM AÉREA",38,1081,30,7865950,38500,78779.28,209,"26"
"126819",133193,"2015","3","55","1","PR","PSC","SERVIÇOS POSTAIS",13,1081,30,7865950,38500,6333.61,21,"126"
"120843",141930,"2015","3","55","1","PR","PSC","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",13,1081,30,7865950,38500,365.55,1,"25"
"134819",64615,"2015","3","55","1","RJ","PSL","PASSAGEM AÉREA",1,933,46,12141145,35388.11,11866.19,17,"36"
"136972",36780,"2015","3","55","1","RJ","PATRIOTA","COMBUSTÍVEIS E LUBRIFICANTES",5,933,46,12141145,35388.11,4729.9,31,"72"
"139474",12917,"2015","3","55","1","RJ","PSB","PASSAGEM AÉREA",34,933,46,12141145,35388.11,9774.6,36,"146"
"147552",153967,"2015","3","55","1","RN","PSB","SERVIÇOS POSTAIS",34,1775,8,2327451,42360.13,107.27,2,"25"
"154363",71329,"2015","3","55","1","RO","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1900,8,1127154,43300.63,5500,1,"37"
"156264",181146,"2015","3","55","1","RR","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,2496,8,299558,45240.67,2164.62,6,"5"
"165977",187728,"2015","3","55","1","RS","PT","TELEFONIA",68,1619,31,8392033,40504.04,28954.41,103,"81"
"162253",3744,"2015","3","55","1","RS","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1619,31,8392033,40504.04,1430.6,51,"11"
"176897",136105,"2015","3","55","1","SC","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1314,16,4859324,39505.92,3420,1,"22"
"179373",175469,"2015","3","55","1","SC","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1314,16,4859324,39505.92,317.7,8,"65"
"183147",14456,"2015","3","55","1","SE","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1292,8,1454165,39767.4,196.95,3,"59"
"188063",197606,"2015","3","55","1","SP","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,873,70,31998432,36671.67,22280,4,"7"
"197152",185319,"2015","3","55","1","SP","PSC","ASSESSORIA TÉCNICA/JURÍDICA",13,873,70,31998432,36671.67,5120,2,"120"
"188553",56198,"2015","3","55","1","SP","PT","MANUTENÇÃO DE ESCRITÓRIO",68,873,70,31998432,36671.67,43344.34,46,"18"
"204575",91014,"2015","3","55","1","TO","MDB","DIVULGAÇÃO MANDATO",65,620,8,996887,39131.75,16350,2,"25"
"312",160595,"2015","4","55","1","AC","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,2246,8,506724,44260.6,3731.7,8,"7"
"8630",55833,"2015","4","55","1","AL","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1485,9,1995727,40572.24,640.37,9,"54"
"9287",199409,"2015","4","55","1","AM","DEM","SERVIÇOS POSTAIS",21,1932,8,2226891,43198.26,402.65,10,"9"
"15616",62121,"2015","4","55","1","AP","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1791,8,455514,43002.92,9000,1,"41"
"24490",7697,"2015","4","55","1","BA","PCdoB","SERVIÇOS POSTAIS",10,1060,39,10185417,38638.99,1025.38,25,"106"
"24355",94766,"2015","4","55","1","BA","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1060,39,10185417,38638.99,6565.54,2,"103"
"38348",169134,"2015","4","55","1","CE","AVANTE","PASSAGEM AÉREA",2,1687,22,6271554,42079.91,13321.28,28,"127"
"38487",22774,"2015","4","55","1","CE","PODEMOS","TELEFONIA",9,1687,22,6271554,42079.91,265.42,8,"131"
