"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"11484","2015","55","1","PA","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1592,17,5188450,41855.59,169393.03,"11"
"11234","2015","55","1","PA","PSDB","TELEFONIA",54,1592,17,5188450,41855.59,41483.89,"3"
"11152","2015","55","1","PA","PSOL","MANUTENÇÃO DE ESCRITÓRIO",5,1592,17,5188450,41855.59,40282.68,"2"
"11344","2015","55","1","PA","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1592,17,5188450,41855.59,77000,"8"
"11458","2015","55","1","PA","PTB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",25,1592,17,5188450,41855.59,72940,"9"
"11079","2015","55","1","PA","SOLIDARIEDADE","TELEFONIA",15,1592,17,5188450,41855.59,10809.05,"1"
"11868","2015","55","1","PB","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1716,12,2835882,41660.7,656,"7"
"11821","2015","55","1","PB","MDB","DIVULGAÇÃO MANDATO",65,1716,12,2835882,41660.7,276342.33,"4"
"12189","2015","55","1","PB","PDT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",20,1716,12,2835882,41660.7,2466.5,"6"
"12246","2015","55","1","PB","PL","DIVULGAÇÃO MANDATO",34,1716,12,2835882,41660.7,229500,"7"
"12308","2015","55","1","PB","PP","DIVULGAÇÃO MANDATO",38,1716,12,2835882,41660.7,138200,"6"
"12265","2015","55","1","PB","PSB","TELEFONIA",34,1716,12,2835882,41660.7,27242.66,"8"
"12316","2015","55","1","PB","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1716,12,2835882,41660.7,509.83,"5"
"11739","2015","55","1","PB","PSD","PASSAGEM AÉREA",36,1716,12,2835882,41660.7,95261.09,"2"
"11761","2015","55","1","PB","PSDB","PASSAGEM AÉREA",54,1716,12,2835882,41660.7,64072.56,"7"
"12335","2015","55","1","PB","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1716,12,2835882,41660.7,23356.18,"6"
"11676","2015","55","1","PB","PTB","SERVIÇOS POSTAIS",25,1716,12,2835882,41660.7,649.44,"1"
"12366","2015","55","1","PB","REPUBLICANOS","SERVIÇOS POSTAIS",21,1716,12,2835882,41660.7,754.46,"9"
"12963","2015","55","1","PE","AVANTE","MANUTENÇÃO DE ESCRITÓRIO",2,1657,25,6356307,41304.94,115863.76,"3"
"13079","2015","55","1","PE","CIDADANIA","SERVIÇOS POSTAIS",10,1657,25,6356307,41304.94,41803.43,"3"
"13276","2015","55","1","PE","DEM","SERVIÇOS POSTAIS",21,1657,25,6356307,41304.94,23088.82,"7"
"12833","2015","55","1","PE","MDB","DIVULGAÇÃO MANDATO",65,1657,25,6356307,41304.94,11400,"2"
"13198","2015","55","1","PE","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1657,25,6356307,41304.94,8990.96,"6"
"13186","2015","55","1","PE","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1657,25,6356307,41304.94,58694.6,"8"
"12991","2015","55","1","PE","PDT","SERVIÇOS POSTAIS",20,1657,25,6356307,41304.94,5161.48,"4"
"13028","2015","55","1","PE","PL","PASSAGEM AÉREA",34,1657,25,6356307,41304.94,73899.26,"2"
"13323","2015","55","1","PE","PODEMOS","COMBUSTÍVEIS E LUBRIFICANTES",9,1657,25,6356307,41304.94,20823.67,"6"
"13485","2015","55","1","PE","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1657,25,6356307,41304.94,20443.87,"11"
"12868","2015","55","1","PE","PROS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",11,1657,25,6356307,41304.94,8616.37,"1"
"13101","2015","55","1","PE","PSB","PASSAGEM AÉREA",34,1657,25,6356307,41304.94,204711.76,"4"
"12880","2015","55","1","PE","PSDB","TELEFONIA",54,1657,25,6356307,41304.94,59789.11,"3"
"13255","2015","55","1","PE","PTB","TELEFONIA",25,1657,25,6356307,41304.94,29214.26,"6"
"13570","2015","55","1","PE","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,1657,25,6356307,41304.94,108857.62,"10"
"13897","2015","55","1","PI","DEM","ASSINATURA DE PUBLICAÇÕES",21,1313,10,2345694,40599.91,2534.3,"4"
"13866","2015","55","1","PI","MDB","TELEFONIA",65,1313,10,2345694,40599.91,11490.37,"4"
"13928","2015","55","1","PI","PDT","TELEFONIA",20,1313,10,2345694,40599.91,1982.65,"4"
"13800","2015","55","1","PI","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1313,10,2345694,40599.91,1507.59,"1"
"13972","2015","55","1","PI","PODEMOS","PASSAGEM AÉREA",9,1313,10,2345694,40599.91,124437.27,"2"
"13942","2015","55","1","PI","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,1313,10,2345694,40599.91,2157,"5"
"14294","2015","55","1","PI","PSB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",34,1313,10,2345694,40599.91,73320,"9"
"14335","2015","55","1","PI","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1313,10,2345694,40599.91,1627.66,"10"
"13831","2015","55","1","PI","PT","SERVIÇOS POSTAIS",68,1313,10,2345694,40599.91,4638.76,"3"
"14364","2015","55","1","PI","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1313,10,2345694,40599.91,30411.27,"9"
"15783","2015","55","1","PR","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1081,30,7865950,38500,873.27,"12"
"15805","2015","55","1","PR","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1081,30,7865950,38500,39400,"6"
"15780","2015","55","1","PR","MDB","DIVULGAÇÃO MANDATO",65,1081,30,7865950,38500,269415,"12"
"15479","2015","55","1","PR","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1081,30,7865950,38500,43828.28,"7"
"15323","2015","55","1","PR","PL","LOCAÇÃO DE AUTOMÓVEIS",34,1081,30,7865950,38500,81303,"4"
"15814","2015","55","1","PR","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1081,30,7865950,38500,63415,"13"
"15247","2015","55","1","PR","PP","ASSINATURA DE PUBLICAÇÕES",38,1081,30,7865950,38500,347.22,"2"
"15665","2015","55","1","PR","PROS","TELEFONIA",11,1081,30,7865950,38500,20226.58,"8"
"15771","2015","55","1","PR","PSB","PASSAGEM AÉREA",34,1081,30,7865950,38500,232633.1,"12"
